"",BBK01.OEAE35M,BBK01.OEAE35M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:32,
2002-01,0.992,
2002-04,0.948,
2002-07,0.954,
2002-10,0.912,
2003-01,0.962,
2003-04,0.923,
2003-07,0.954,
2003-10,0.926,
2004-01,0.957,
2004-04,0.975,
2004-07,0.995,
2004-10,1.036,
2005-01,1.037,
2005-04,1.027,
2005-07,1.006,
2005-10,0.974,
2006-01,0.945,
2006-04,0.988,
2006-07,0.965,
2006-10,1.002,
2007-01,0.953,
2007-04,1.023,
2007-07,1.040,
2007-10,1.082,
2008-01,1.031,
2008-04,1.021,
2008-07,1.086,
2008-10,1.059,
2009-01,1.011,
2009-04,0.983,
2009-07,0.982,
2009-10,0.973,
2010-01,0.517,
2010-04,0.428,
2010-07,0.423,
2010-10,0.446,
2011-01,0.461,
2011-04,0.493,
2011-07,0.488,
2011-10,0.488,
2012-01,0.475,
2012-04,0.478,
2012-07,0.450,
2012-10,0.438,
2013-01,0.416,
2013-04,0.397,
2013-07,0.394,
2013-10,1.296,
2014-01,1.286,
2014-04,1.256,
2014-07,1.280,
