"",BBEX3.M.COP.USD.CA.AC.A01,BBEX3.M.COP.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Colombia / USD 1 = COP ... (middle),
unit,COP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:48,
1994-01,818.380,
1994-02,819.700,
1994-03,820.425,
1994-04,837.275,
1994-05,841.125,
1994-06,819.635,
1994-07,815.620,
1994-08,816.305,
1994-09,841.995,
1994-10,838.550,
1994-11,829.025,
1994-12,831.605,
1995-01,857.915,
1995-02,856.495,
1995-03,880.435,
1995-04,876.210,
1995-05,876.365,
1995-06,881.235,
1995-07,897.675,
1995-08,960.190,
1995-09,972.755,
1995-10,994.500,
1995-11,998.155,
1995-12,987.650,
1996-01,1028.140,
1996-02,1039.810,
1996-03,1048.425,
1996-04,1058.905,
1996-05,1073.060,
1996-06,1069.735,
1996-07,1056.740,
1996-08,1045.015,
1996-09,1025.060,
1996-10,1015.485,
1996-11,994.445,
1996-12,1003.490,
1997-01,1070.965,
1997-02,1080.510,
1997-03,1059.880,
1997-04,1063.110,
1997-05,1076.395,
1997-06,1090.580,
1997-07,1109.645,
1997-08,1172.280,
1997-09,1246.270,
1997-10,1281.195,
1997-11,1303.100,
1997-12,1293.580,
1998-01,1341.850,
1998-02,1344.245,
1998-03,1361.865,
1998-04,1365.715,
1998-05,1396.505,
1998-06,1363.045,
1998-07,1370.650,
1998-08,1440.875,
1998-09,1556.145,
1998-10,1577.190,
1998-11,1547.110,
1998-12,1535.555,
1999-01,1580.725,
1999-02,1572.465,
1999-03,1533.505,
1999-04,1604.440,
1999-05,1671.665,
1999-06,1732.100,
1999-07,1806.520,
1999-08,1954.725,
1999-09,2017.270,
1999-10,1965.440,
1999-11,1923.770,
1999-12,1867.815,
2000-01,1976.715,
2000-02,1946.165,
2000-03,1951.560,
2000-04,2002.945,
2000-05,2084.920,
2000-06,2139.110,
2000-07,2172.790,
2000-08,2208.210,
2000-09,2211.935,
2000-10,2158.365,
2000-11,2172.835,
2000-12,2229.175,
2001-01,2240.800,
2001-02,2257.445,
2001-03,2309.830,
2001-04,2347.090,
2001-05,2324.975,
2001-06,2305.335,
2001-07,2293.250,
2001-08,2301.230,
2001-09,2328.750,
2001-10,2309.115,
2001-11,2310.970,
2001-12,2301.335,
2002-01,2264.820,
2002-02,2309.825,
2002-03,2261.370,
2002-04,2275.350,
2002-05,2321.160,
2002-06,2398.140,
2002-07,2625.060,
2002-08,2712.465,
2002-09,2828.075,
2002-10,2778.595,
2002-11,2758.280,
2002-12,2864.790,
2003-01,2926.460,
2003-02,2956.315,
2003-03,2958.250,
2003-04,2887.820,
2003-05,2855.880,
2003-06,2817.325,
2003-07,2880.395,
2003-08,2846.265,
2003-09,2889.390,
2003-10,2884.170,
2003-11,2838.700,
2003-12,2778.210,
2004-01,2740.550,
2004-02,2686.535,
2004-03,2678.160,
2004-04,2646.985,
2004-05,2724.920,
2004-06,2699.580,
2004-07,2619.550,
2004-08,2551.430,
2004-09,2595.170,
2004-10,2585.800,
2004-11,2479.100,
2004-12,2389.755,
2005-01,2367.765,
2005-02,2323.765,
2005-03,2376.475,
2005-04,2344.865,
2005-05,2332.790,
2005-06,2331.815,
2005-07,2311.425,
2005-08,2304.300,
2005-09,2289.610,
2005-10,2289.570,
2005-11,2274.040,
2005-12,2284.225,
2006-01,2265.645,
2006-02,2247.320,
2006-03,2289.975,
2006-04,2375.660,
2006-05,2482.410,
2006-06,2633.120,
2006-07,2425.995,
2006-08,2396.625,
2006-09,2397.070,
2006-10,2315.385,
2006-11,2300.420,
2006-12,2238.790,
2007-01,2259.720,
2007-02,2224.115,
2007-03,2155.065,
2007-04,2110.675,
2007-05,1930.640,
2007-06,1958.090,
2007-07,1971.805,
2007-08,2173.175,
2007-09,2013.180,
2007-10,1999.440,
2007-11,2060.425,
2007-12,2014.765,
2008-01,1939.600,
2008-02,1843.585,
2008-03,1821.605,
2008-04,1780.210,
2008-05,1755.955,
2008-06,1923.015,
2008-07,1792.235,
2008-08,1907.970,
2008-09,2174.615,
2008-10,2374.105,
2008-11,2324.095,
2008-12,2243.595,
2009-01,2386.575,
2009-02,2555.055,
2009-03,2561.215,
2009-04,2289.730,
2009-05,2190.445,
2009-06,2158.675,
2009-07,2043.370,
2009-08,2034.995,
2009-09,1922.005,
2009-10,2004.375,
2009-11,1997.470,
2009-12,2044.230,
2010-01,1991.210,
2010-02,1941.975,
2010-03,1928.590,
2010-04,1969.750,
2010-05,1971.550,
2010-06,1916.465,
2010-07,1841.345,
2010-08,1823.745,
2010-09,1799.895,
2010-10,1839.900,
2010-11,1916.960,
2010-12,1989.885,
2011-01,1857.975,
2011-02,1895.560,
2011-03,1879.475,
2011-04,1767.535,
2011-05,1817.335,
2011-06,1780.160,
2011-07,1771.155,
2011-08,1783.660,
2011-09,1915.105,
2011-10,1863.055,
2011-11,1967.180,
2011-12,1942.705,
2012-01,1815.075,
2012-02,1767.830,
2012-03,1784.655,
2012-04,1761.200,
2012-05,1827.825,
2012-06,1805.605,
2012-07,1789.020,
2012-08,1830.500,
2012-09,1798.080,
2012-10,1829.890,
2012-11,1817.925,
2012-12,1768.230,
2013-01,1773.240,
2013-02,1816.420,
2013-03,1832.200,
2013-04,1828.790,
2013-05,1891.480,
2013-06,1922.630,
2013-07,1890.325,
2013-08,1943.040,
2013-09,1914.645,
2013-10,1884.055,
2013-11,1928.255,
2013-12,1926.830,
2014-01,2008.265,
2014-02,2054.905,
2014-03,1965.320,
2014-04,1935.135,
2014-05,1905.960,
2014-06,1881.185,
2014-07,1872.425,
2014-08,1935.035,
2014-09,2028.475,
2014-10,2050.520,
2014-11,2165.145,
2014-12,2392.460,
2015-01,2397.350,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:  Since April 2003: Superintendencia Financiera de Colombia, Bogotá, D.C. (formerly: Superintendencia Bancaria de Colombia). 1994 - March 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
