"",BBK01.OXC8Z3,BBK01.OXC8Z3_FLAGS
"",Trading portfolio derivatives (included in other liabilities) / Big banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:42,
2010-12,787.530,
2011-01,711.432,
2011-02,676.829,
2011-03,619.864,
2011-04,615.025,
2011-05,662.775,
2011-06,589.747,
2011-07,701.568,
2011-08,844.971,
2011-09,950.027,
2011-10,828.286,
2011-11,817.775,
2011-12,896.771,
2012-01,888.409,
2012-02,852.629,
2012-03,805.484,
2012-04,832.888,
2012-05,1035.515,
2012-06,890.356,
2012-07,965.101,
2012-08,927.823,
2012-09,893.367,
2012-10,838.274,
2012-11,844.215,
2012-12,827.768,
2013-01,744.423,
2013-02,749.231,
2013-03,745.302,
2013-04,773.370,
2013-05,679.489,
2013-06,618.925,
2013-07,608.908,
2013-08,568.201,
2013-09,579.727,
2013-10,585.179,
2013-11,584.948,
2013-12,531.340,
2014-01,552.482,
2014-02,527.215,
2014-03,513.516,
2014-04,518.092,
2014-05,545.022,
2014-06,546.860,
2014-07,561.994,
2014-08,629.556,
2014-09,616.757,
2014-10,617.093,
2014-11,656.758,
2014-12,680.581,Provisional value
