"",BBK01.OEXB02I,BBK01.OEXB02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:08,
2002-01,9.384,
2002-04,7.823,
2002-07,7.854,
2002-10,7.463,
2003-01,7.045,
2003-04,7.140,
2003-07,6.749,
2003-10,5.305,
2004-01,6.062,
2004-04,5.398,
2004-07,5.372,
2004-10,4.688,
2005-01,4.717,
2005-04,4.617,
2005-07,5.221,
2005-10,4.256,
2006-01,4.209,
2006-04,4.515,
2006-07,2.105,
2006-10,2.805,
2007-01,2.558,
2007-04,2.559,
2007-07,2.424,
2007-10,2.328,
2008-01,2.475,
2008-04,2.741,
2008-07,3.012,
2008-10,3.048,
2009-01,2.988,
2009-04,3.148,
2009-07,3.067,
2009-10,3.144,
2010-01,3.091,
2010-04,3.230,
2010-07,3.047,
2010-10,2.907,
2011-01,2.576,
2011-04,2.551,
2011-07,2.523,
2011-10,2.629,
2012-01,2.657,
2012-04,2.702,
2012-07,2.609,
2012-10,2.625,
2013-01,3.350,
2013-04,3.414,
2013-07,3.204,
2013-10,3.555,
2014-01,3.471,
2014-04,3.346,
2014-07,3.360,
