"",BBK01.OEAH96Q,BBK01.OEAH96Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:32,
2002-01,0.188,
2002-04,0.178,
2002-07,0.178,
2002-10,0.185,
2003-01,0.183,
2003-04,0.182,
2003-07,0.185,
2003-10,0.183,
2004-01,0.177,
2004-04,0.165,
2004-07,0.163,
2004-10,0.159,
2005-01,0.157,
2005-04,0.141,
2005-07,0.137,
2005-10,0.136,
2006-01,0.135,
2006-04,0.133,
2006-07,0.129,
2006-10,0.128,
2007-01,0.129,
2007-04,0.125,
2007-07,0.119,
2007-10,0.121,
2008-01,0.123,
2008-04,0.120,
2008-07,0.120,
2008-10,0.123,
2009-01,0.126,
2009-04,0.129,
2009-07,0.131,
2009-10,0.137,
2010-01,0.140,
2010-04,0.142,
2010-07,0.146,
2010-10,0.147,
2011-01,0.146,
2011-04,0.138,
2011-07,0.133,
2011-10,0.135,
2012-01,0.147,
2012-04,0.148,
2012-07,0.151,
2012-10,0.158,
2013-01,0.145,
2013-04,0.147,
2013-07,0.148,
2013-10,0.146,
2014-01,0.145,
2014-04,0.143,
2014-07,0.138,
