"",BBK01.CEHP0X,BBK01.CEHP0X_FLAGS
"",Time deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:54,
1991-01,4.2,
1991-04,-1.4,
1991-07,-4.6,
1991-10,-0.2,
1992-01,1.6,
1992-04,-2.5,
1992-07,1.8,
1992-10,-0.8,
1993-01,4.9,
1993-04,0.3,
1993-07,2.4,
1993-10,1.7,
1994-01,2.0,
1994-04,-1.3,
1994-07,3.7,
1994-10,-5.8,
1995-01,6.5,
1995-04,1.2,
1995-07,-2.9,
1995-10,-3.0,
1996-01,11.6,
1996-04,1.2,
1996-07,-0.5,
1996-10,-6.4,
1997-01,11.9,
1997-04,-1.5,
1997-07,-3.3,
1997-10,-0.7,
1998-01,11.6,
1998-04,0.5,
1998-07,6.8,
1998-10,-5.7,
1999-01,-5.0,
1999-04,-5.0,
1999-07,1.3,
1999-10,-2.3,
2000-01,5.4,
2000-04,-6.7,
2000-07,5.9,
2000-10,-3.8,
2001-01,4.3,
2001-04,-0.8,
2001-07,4.0,
2001-10,1.3,
2002-01,13.1,
2002-04,1.5,
2002-07,2.5,
2002-10,-16.7,
2003-01,12.8,
2003-04,6.6,
2003-07,9.5,
2003-10,-6.8,
2004-01,4.9,
2004-04,-5.8,
2004-07,-0.7,
2004-10,3.0,
2005-01,10.6,
2005-04,-6.4,
2005-07,9.0,
2005-10,-8.1,
2006-01,18.8,
2006-04,-5.2,
2006-07,16.9,
2006-10,-13.2,
2007-01,28.9,
2007-04,3.8,
2007-07,4.3,
2007-10,22.4,
2008-01,36.9,
2008-04,-6.1,
2008-07,38.2,
2008-10,21.8,
2009-01,27.5,
2009-04,-6.0,
2009-07,-9.8,
2009-10,12.2,
2010-01,-11.6,
2010-04,27.6,
2010-07,13.2,
2010-10,-7.6,
2011-01,-7.8,
2011-04,43.3,
2011-07,51.0,
2011-10,-54.3,
2012-01,-2.2,
2012-04,38.2,
2012-07,-2.3,
2012-10,-48.9,
2013-01,40.7,
2013-04,27.8,
2013-07,-54.8,
2013-10,-5.4,
2014-01,22.4,
