"",BBFN1.M.DE.N.1.A.CO.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CO.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Columbia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:27,
1994-07,0.213,
1994-08,0.216,
1994-09,0.213,
1994-10,0.224,
1994-11,0.224,
1994-12,0.227,
1995-01,0.216,
1995-02,0.213,
1995-03,0.209,
1995-04,0.201,
1995-05,0.205,
1995-06,0.228,
1995-07,0.246,
1995-08,0.249,
1995-09,0.271,
1995-10,0.238,
1995-11,0.240,
1995-12,0.231,
1996-01,0.222,
1996-02,0.231,
1996-03,0.237,
1996-04,0.236,
1996-05,0.246,
1996-06,0.236,
1996-07,0.235,
1996-08,0.238,
1996-09,0.241,
1996-10,0.235,
1996-11,0.242,
1996-12,0.246,
1997-01,0.243,
1997-02,0.252,
1997-03,0.250,
1997-04,0.260,
1997-05,0.270,
1997-06,0.268,
1997-07,0.266,
1997-08,0.272,
1997-09,0.281,
1997-10,0.284,
1997-11,0.284,
1997-12,0.281,
1998-01,0.286,
1998-02,0.364,
1998-03,0.294,
1998-04,0.291,
1998-05,0.299,
1998-06,0.299,
1998-07,0.329,
1998-08,0.318,
1998-09,0.322,
1998-10,0.317,
1998-11,0.303,
1998-12,0.298,
1999-01,0.308,
1999-02,0.302,
1999-03,0.297,
1999-04,0.188,
1999-05,0.310,
1999-06,0.320,
1999-07,0.307,
1999-08,0.314,
1999-09,0.323,
1999-10,0.352,
1999-11,0.335,
1999-12,0.315,
2000-01,0.347,
2000-02,0.326,
2000-03,0.347,
2000-04,0.341,
2000-05,0.336,
2000-06,0.337,
2000-07,0.329,
2000-08,0.345,
2000-09,0.349,
2000-10,0.347,
2000-11,0.354,
2000-12,0.369,
2001-01,0.358,
2001-02,0.367,
2001-03,0.333,
2001-04,0.378,
2001-05,0.347,
2001-06,0.510,
2001-07,0.341,
2001-08,0.329,
2001-09,0.478,
2001-10,0.466,
2001-11,0.471,
2001-12,0.442,
2002-01,0.283,
2002-02,0.286,
2002-03,0.365,
2002-04,0.421,
2002-05,0.418,
2002-06,0.422,
2002-07,0.434,
2002-08,0.432,
2002-09,0.450,
2002-10,0.355,
2002-11,0.438,
2002-12,0.423,
2003-01,0.434,
2003-02,0.387,
2003-03,0.283,
2003-04,0.374,
2003-05,0.365,
2003-06,0.298,
2003-07,0.295,
2003-08,0.365,
2003-09,0.383,
2003-10,0.282,
2003-11,0.271,
2003-12,0.271,
2004-01,0.266,
2004-02,0.240,
2004-03,0.251,
2004-04,0.228,
2004-05,0.253,
2004-06,0.253,
2004-07,0.229,
2004-08,0.236,
2004-09,0.264,
2004-10,0.241,
2004-11,0.252,
2004-12,0.244,
2005-01,0.221,
2005-02,0.211,
2005-03,0.245,
2005-04,0.236,
2005-05,0.245,
2005-06,0.252,
2005-07,0.258,
2005-08,0.256,
2005-09,0.276,
2005-10,0.274,
2005-11,0.286,
2005-12,0.293,
2006-01,0.298,
2006-02,0.284,
2006-03,0.288,
2006-04,0.290,
2006-05,0.267,
2006-06,0.245,
2006-07,0.242,
2006-08,0.217,
2006-09,0.207,
2006-10,0.211,
2006-11,0.207,
2006-12,0.200,
2007-01,0.201,
2007-02,0.201,
2007-03,0.201,
2007-04,0.222,
2007-05,0.223,
2007-06,0.222,
2007-07,0.223,
2007-08,0.214,
2007-09,0.199,
2007-10,0.189,
2007-11,0.192,
2007-12,0.180,
2008-01,0.182,
2008-02,0.187,
2008-03,0.199,
2008-04,0.197,
2008-05,0.209,
2008-06,0.226,
2008-07,0.224,
2008-08,0.223,
2008-09,0.242,
2008-10,0.255,
2008-11,0.248,
2008-12,0.236,
2009-01,0.229,
2009-02,0.250,
2009-03,0.253,
2009-04,0.231,
2009-05,0.194,
2009-06,0.213,
2009-07,0.235,
2009-08,0.246,
2009-09,0.243,
2009-10,0.228,
2009-11,0.214,
2009-12,0.217,
2010-01,0.203,
2010-02,0.216,
2010-03,0.237,
2010-04,0.241,
2010-05,0.250,
2010-06,0.272,
2010-07,0.274,
2010-08,0.280,
2010-09,0.301,
2010-10,0.278,
2010-11,0.275,
2010-12,0.274,
2011-01,0.270,
2011-02,0.278,
2011-03,0.273,
2011-04,0.305,
2011-05,0.295,
2011-06,0.283,
2011-07,0.293,
2011-08,0.291,
2011-09,0.292,
2011-10,0.283,
2011-11,0.280,
2011-12,0.293,
2012-01,0.305,
2012-02,0.300,
2012-03,0.316,
2012-04,0.312,
2012-05,0.337,
2012-06,0.352,
2012-07,0.378,
2012-08,0.367,
2012-09,0.392,
2012-10,0.378,
2012-11,0.372,
2012-12,0.379,
2013-01,0.333,
2013-02,0.340,
2013-03,0.364,
2013-04,0.363,
2013-05,0.348,
2013-06,0.382,
2013-07,0.395,
2013-08,0.417,
2013-09,0.400,
2013-10,0.408,
2013-11,0.416,
2013-12,0.384,
2014-01,0.369,
2014-02,0.372,
2014-03,0.387,
2014-04,0.383,
2014-05,0.387,
2014-06,0.419,
2014-07,0.418,
2014-08,0.425,
2014-09,0.446,
2014-10,0.431,
2014-11,0.423,
2014-12,0.408,
