"",BBK01.OEAE06S,BBK01.OEAE06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:48,
2002-01,0.739,
2002-04,0.721,
2002-07,0.743,
2002-10,0.708,
2003-01,0.669,
2003-04,0.687,
2003-07,0.683,
2003-10,0.689,
2004-01,0.687,
2004-04,0.677,
2004-07,0.676,
2004-10,0.609,
2005-01,0.608,
2005-04,0.605,
2005-07,0.606,
2005-10,0.613,
2006-01,0.604,
2006-04,0.620,
2006-07,0.607,
2006-10,0.610,
2007-01,0.613,
2007-04,0.607,
2007-07,0.622,
2007-10,0.617,
2008-01,0.619,
2008-04,0.628,
2008-07,0.642,
2008-10,0.648,
2009-01,0.646,
2009-04,0.660,
2009-07,0.642,
2009-10,0.953,
2010-01,0.669,
2010-04,0.657,
2010-07,0.656,
2010-10,0.676,
2011-01,0.667,
2011-04,0.680,
2011-07,0.667,
2011-10,0.675,
2012-01,0.687,
2012-04,0.746,
2012-07,0.720,
2012-10,0.729,
2013-01,0.728,
2013-04,0.728,
2013-07,0.747,
2013-10,0.750,
2014-01,0.734,
2014-04,0.727,
2014-07,0.742,
