"",BBK01.OELJ02V,BBK01.OELJ02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:30,
2002-01,0.563,
2002-04,0.568,
2002-07,0.658,
2002-10,0.652,
2003-01,0.582,
2003-04,0.603,
2003-07,0.642,
2003-10,0.701,
2004-01,0.646,
2004-04,0.527,
2004-07,0.658,
2004-10,0.709,
2005-01,0.645,
2005-04,0.649,
2005-07,0.686,
2005-10,0.797,
2006-01,0.711,
2006-04,0.669,
2006-07,0.708,
2006-10,0.846,
2007-01,0.762,
2007-04,0.764,
2007-07,0.794,
2007-10,0.904,
2008-01,0.825,
2008-04,0.810,
2008-07,0.934,
2008-10,1.037,
2009-01,1.013,
2009-04,1.092,
2009-07,1.227,
2009-10,1.320,
2010-01,1.262,
2010-04,1.231,
2010-07,1.278,
2010-10,1.329,
2011-01,1.238,
2011-04,1.231,
2011-07,1.224,
2011-10,1.375,
2012-01,1.340,
2012-04,1.267,
2012-07,1.409,
2012-10,1.468,
2013-01,1.402,
2013-04,1.422,
2013-07,1.635,
2013-10,1.660,
2014-01,1.583,
2014-04,1.698,
2014-07,1.911,
