"",BBDE1.M.DE.Y.AEB1.A2Q501000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2Q501000.F.C.I10.A_FLAGS
"",Orders received from the domestic market / At constant prices / Germany / Intermediate and capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:18,
1991-01,96.4,
1991-02,92.0,
1991-03,93.4,
1991-04,90.2,
1991-05,89.7,
1991-06,90.8,
1991-07,87.4,
1991-08,91.0,
1991-09,88.4,
1991-10,89.7,
1991-11,92.4,
1991-12,91.2,
1992-01,93.3,
1992-02,93.6,
1992-03,91.7,
1992-04,89.5,
1992-05,87.3,
1992-06,84.4,
1992-07,82.2,
1992-08,83.0,
1992-09,84.8,
1992-10,80.3,
1992-11,78.3,
1992-12,81.8,
1993-01,79.9,
1993-02,76.6,
1993-03,74.1,
1993-04,73.9,
1993-05,75.9,
1993-06,74.3,
1993-07,76.2,
1993-08,75.2,
1993-09,79.1,
1993-10,77.5,
1993-11,76.5,
1993-12,79.3,
1994-01,76.3,
1994-02,79.1,
1994-03,79.7,
1994-04,80.3,
1994-05,79.9,
1994-06,81.3,
1994-07,81.9,
1994-08,81.3,
1994-09,83.9,
1994-10,84.4,
1994-11,84.3,
1994-12,88.4,
1995-01,81.5,
1995-02,83.2,
1995-03,83.2,
1995-04,83.5,
1995-05,85.9,
1995-06,80.8,
1995-07,84.7,
1995-08,79.9,
1995-09,82.7,
1995-10,78.6,
1995-11,82.6,
1995-12,80.7,
1996-01,79.3,
1996-02,76.5,
1996-03,79.4,
1996-04,79.3,
1996-05,78.5,
1996-06,83.9,
1996-07,80.1,
1996-08,80.5,
1996-09,80.8,
1996-10,80.5,
1996-11,79.9,
1996-12,79.8,
1997-01,79.4,
1997-02,79.3,
1997-03,82.7,
1997-04,82.3,
1997-05,82.8,
1997-06,83.4,
1997-07,83.3,
1997-08,82.1,
1997-09,84.0,
1997-10,84.4,
1997-11,85.8,
1997-12,84.8,
1998-01,88.8,
1998-02,87.0,
1998-03,88.4,
1998-04,87.8,
1998-05,87.3,
1998-06,86.9,
1998-07,88.5,
1998-08,85.6,
1998-09,87.4,
1998-10,84.7,
1998-11,85.1,
1998-12,83.6,
1999-01,86.1,
1999-02,83.3,
1999-03,84.4,
1999-04,83.9,
1999-05,85.4,
1999-06,88.3,
1999-07,87.7,
1999-08,89.8,
1999-09,88.6,
1999-10,91.3,
1999-11,90.8,
1999-12,90.6,
2000-01,88.8,
2000-02,93.1,
2000-03,92.2,
2000-04,97.0,
2000-05,95.8,
2000-06,97.5,
2000-07,96.5,
2000-08,95.6,
2000-09,94.8,
2000-10,95.0,
2000-11,95.9,
2000-12,95.3,
2001-01,94.7,
2001-02,95.2,
2001-03,96.2,
2001-04,92.4,
2001-05,91.8,
2001-06,91.5,
2001-07,90.9,
2001-08,92.7,
2001-09,89.9,
2001-10,87.8,
2001-11,86.7,
2001-12,90.2,
2002-01,89.0,
2002-02,87.3,
2002-03,87.5,
2002-04,89.1,
2002-05,87.4,
2002-06,90.3,
2002-07,89.5,
2002-08,90.3,
2002-09,89.8,
2002-10,89.6,
2002-11,89.5,
2002-12,89.3,
2003-01,89.3,
2003-02,92.0,
2003-03,87.7,
2003-04,88.1,
2003-05,88.1,
2003-06,89.4,
2003-07,88.4,
2003-08,86.8,
2003-09,89.8,
2003-10,91.8,
2003-11,93.1,
2003-12,91.9,
2004-01,91.7,
2004-02,93.9,
2004-03,94.1,
2004-04,94.0,
2004-05,92.4,
2004-06,93.3,
2004-07,93.4,
2004-08,92.7,
2004-09,92.3,
2004-10,95.3,
2004-11,92.5,
2004-12,97.3,
2005-01,93.7,
2005-02,92.2,
2005-03,93.0,
2005-04,93.0,
2005-05,92.7,
2005-06,96.9,
2005-07,96.6,
2005-08,96.4,
2005-09,97.9,
2005-10,98.6,
2005-11,98.8,
2005-12,99.3,
2006-01,98.6,
2006-02,99.1,
2006-03,98.6,
2006-04,100.6,
2006-05,103.0,
2006-06,101.4,
2006-07,102.1,
2006-08,106.2,
2006-09,109.4,
2006-10,104.9,
2006-11,105.0,
2006-12,106.1,
2007-01,107.3,
2007-02,108.1,
2007-03,109.0,
2007-04,107.8,
2007-05,110.6,
2007-06,112.6,
2007-07,109.9,
2007-08,109.5,
2007-09,109.2,
2007-10,112.8,
2007-11,116.7,
2007-12,117.3,
2008-01,112.4,
2008-02,112.8,
2008-03,111.8,
2008-04,112.5,
2008-05,109.2,
2008-06,108.5,
2008-07,105.4,
2008-08,108.3,
2008-09,103.4,
2008-10,95.8,
2008-11,86.4,
2008-12,83.4,
2009-01,81.1,
2009-02,76.9,
2009-03,78.6,
2009-04,78.5,
2009-05,82.0,
2009-06,83.3,
2009-07,90.8,
2009-08,89.9,
2009-09,89.0,
2009-10,89.2,
2009-11,90.5,
2009-12,89.8,
2010-01,92.8,
2010-02,92.5,
2010-03,97.0,
2010-04,100.3,
2010-05,99.1,
2010-06,101.1,
2010-07,100.2,
2010-08,100.1,
2010-09,101.7,
2010-10,102.8,
2010-11,104.0,
2010-12,102.8,
2011-01,107.4,
2011-02,109.0,
2011-03,105.7,
2011-04,106.7,
2011-05,119.7,
2011-06,106.1,
2011-07,109.2,
2011-08,107.0,
2011-09,104.3,
2011-10,104.3,
2011-11,103.7,
2011-12,103.7,
2012-01,103.5,
2012-02,102.4,
2012-03,104.0,
2012-04,103.5,
2012-05,102.8,
2012-06,100.8,
2012-07,101.0,
2012-08,99.2,
2012-09,99.0,
2012-10,99.1,
2012-11,98.7,
2012-12,99.3,
2013-01,100.1,
2013-02,101.3,
2013-03,103.2,
2013-04,100.0,
2013-05,98.4,
2013-06,102.4,
2013-07,102.3,
2013-08,104.2,
2013-09,103.7,
2013-10,102.5,
2013-11,104.8,
2013-12,102.2,
2014-01,104.2,
2014-02,105.6,
2014-03,105.2,
2014-04,106.0,
2014-05,104.0,
2014-06,102.2,
2014-07,103.6,
2014-08,102.5,
2014-09,99.8,
2014-10,106.0,
2014-11,100.9,
2014-12,104.2,Provisional value
