"",BBK01.OECB07Q,BBK01.OECB07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:27,
2002-01,0.279,
2002-04,0.249,
2002-07,0.235,
2002-10,0.240,
2003-01,0.234,
2003-04,0.253,
2003-07,0.338,
2003-10,0.321,
2004-01,0.303,
2004-04,0.290,
2004-07,0.252,
2004-10,0.405,
2005-01,0.422,
2005-04,0.420,
2005-07,0.497,
2005-10,0.449,
2006-01,0.439,
2006-04,0.451,
2006-07,0.413,
2006-10,0.404,
2007-01,0.459,
2007-04,0.398,
2007-07,0.368,
2007-10,0.362,
2008-01,0.348,
2008-04,0.333,
2008-07,0.330,
2008-10,0.359,
2009-01,0.357,
2009-04,0.365,
2009-07,0.345,
2009-10,0.362,
2010-01,0.336,
2010-04,0.336,
2010-07,0.346,
2010-10,0.358,
2011-01,0.349,
2011-04,0.310,
2011-07,0.335,
2011-10,0.349,
2012-01,0.341,
2012-04,0.341,
2012-07,0.336,
2012-10,0.338,
2013-01,0.371,
2013-04,0.366,
2013-07,0.369,
2013-10,0.399,
2014-01,0.388,
2014-04,0.384,
2014-07,0.371,
