"",BBK01.OEBJ05I,BBK01.OEBJ05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:30,
2002-01,1.475,
2002-04,1.434,
2002-07,1.450,
2002-10,1.450,
2003-01,1.395,
2003-04,1.350,
2003-07,1.313,
2003-10,1.309,
2004-01,1.292,
2004-04,1.213,
2004-07,1.268,
2004-10,1.261,
2005-01,1.594,
2005-04,1.651,
2005-07,1.876,
2005-10,1.207,
2006-01,1.325,
2006-04,1.257,
2006-07,1.196,
2006-10,1.206,
2007-01,1.247,
2007-04,1.247,
2007-07,1.265,
2007-10,1.246,
2008-01,1.234,
2008-04,1.273,
2008-07,1.331,
2008-10,1.314,
2009-01,1.328,
2009-04,1.361,
2009-07,1.457,
2009-10,1.422,
2010-01,1.438,
2010-04,1.436,
2010-07,1.433,
2010-10,4.216,
2011-01,4.730,
2011-04,4.717,
2011-07,4.954,
2011-10,5.132,
2012-01,5.309,
2012-04,5.373,
2012-07,5.405,
2012-10,5.463,
2013-01,5.502,
2013-04,5.514,
2013-07,5.547,
2013-10,5.667,
2014-01,5.731,
2014-04,5.860,
2014-07,5.908,
