"",BBK01.OEXB19L,BBK01.OEXB19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:41,
2002-01,1.693,
2002-04,1.666,
2002-07,1.728,
2002-10,1.837,
2003-01,2.430,
2003-04,2.498,
2003-07,2.496,
2003-10,2.605,
2004-01,2.794,
2004-04,3.089,
2004-07,3.266,
2004-10,3.352,
2005-01,3.344,
2005-04,3.465,
2005-07,3.502,
2005-10,3.095,
2006-01,3.143,
2006-04,3.599,
2006-07,3.635,
2006-10,3.742,
2007-01,3.717,
2007-04,3.830,
2007-07,3.866,
2007-10,3.862,
2008-01,3.864,
2008-04,4.082,
2008-07,3.962,
2008-10,3.766,
2009-01,5.286,
2009-04,5.149,
2009-07,5.234,
2009-10,6.028,
2010-01,6.119,
2010-04,6.238,
2010-07,5.841,
2010-10,5.890,
2011-01,6.013,
2011-04,5.721,
2011-07,6.043,
2011-10,6.101,
2012-01,5.585,
2012-04,5.746,
2012-07,6.012,
2012-10,5.963,
2013-01,5.938,
2013-04,5.990,
2013-07,6.114,
2013-10,6.098,
2014-01,6.019,
2014-04,5.875,
2014-07,5.853,
