"",BBK01.OUD225,BBK01.OUD225_FLAGS
"",Time deposits of domestic banks (MFIs) (excluding the Bundesbank) / medium-and longtherm / Regional banks and other commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:10:37,
1968-12,1.546,
1969-01,1.475,
1969-02,1.489,
1969-03,1.533,
1969-04,1.558,
1969-05,1.540,
1969-06,1.486,
1969-07,1.532,
1969-08,1.575,
1969-09,1.552,
1969-10,1.573,
1969-11,1.617,
1969-12,1.717,
1970-01,1.648,
1970-02,1.713,
1970-03,1.691,
1970-04,1.733,
1970-05,1.776,
1970-06,1.757,
1970-07,1.796,
1970-08,1.817,
1970-09,1.830,
1970-10,1.836,
1970-11,1.834,
1970-12,2.133,
1971-01,2.052,
1971-02,1.977,
1971-03,1.995,
1971-04,1.883,
1971-05,1.904,
1971-06,1.901,
1971-07,1.958,
1971-08,1.977,
1971-09,2.004,
1971-10,2.081,
1971-11,2.100,
1971-12,2.514,
1972-01,2.205,
1972-02,2.237,
1972-03,2.236,
1972-04,2.559,
1972-05,2.728,
1972-06,2.720,
1972-07,2.731,
1972-08,2.783,
1972-09,2.842,
1972-10,2.839,
1972-11,2.915,
1972-12,2.901,
1973-01,2.981,
1973-02,2.991,
1973-03,3.121,
1973-04,3.155,
1973-05,3.213,
1973-06,3.215,
1973-07,3.242,
1973-08,3.266,
1973-09,3.288,
1973-10,3.300,
1973-11,3.328,
1973-12,3.341,
1974-01,3.369,
1974-02,3.383,
1974-03,3.469,
1974-04,3.523,
1974-05,3.483,
1974-06,3.462,
1974-07,3.461,
1974-08,3.543,
1974-09,3.587,
1974-10,3.608,
1974-11,3.662,
1974-12,3.643,
1975-01,3.627,
1975-02,3.621,
1975-03,3.743,
1975-04,3.799,
1975-05,3.870,
1975-06,3.846,
1975-07,3.914,
1975-08,4.029,
1975-09,4.164,
1975-10,4.207,
1975-11,4.316,
1975-12,4.597,
1976-01,4.816,
1976-02,4.798,
1976-03,4.871,
1976-04,4.957,
1976-05,4.925,
1976-06,4.918,
1976-07,4.963,
1976-08,5.003,
1976-09,5.309,
1976-10,5.323,
1976-11,5.247,
1976-12,5.154,
1977-01,5.177,
1977-02,5.239,
1977-03,5.277,
1977-04,5.379,
1977-05,5.463,
1977-06,5.430,
1977-07,5.562,
1977-08,5.697,
1977-09,5.778,
1977-10,5.923,
1977-11,5.991,
1977-12,6.755,
1978-01,6.953,
1978-02,7.060,
1978-03,7.164,
1978-04,7.222,
1978-05,7.149,
1978-06,7.224,
1978-07,7.389,
1978-08,7.527,
1978-09,7.659,
1978-10,7.719,
1978-11,7.764,
1978-12,7.664,
1979-01,7.798,
1979-02,7.848,
1979-03,7.857,
1979-04,7.968,
1979-05,8.092,
1979-06,8.167,
1979-07,8.284,
1979-08,8.359,
1979-09,8.385,
1979-10,8.537,
1979-11,8.537,
1979-12,8.436,
1980-01,8.503,
1980-02,8.572,
1980-03,8.668,
1980-04,8.742,
1980-05,8.763,
1980-06,8.708,
1980-07,8.740,
1980-08,8.845,
1980-09,8.664,
1980-10,8.589,
1980-11,8.635,
1980-12,8.720,
1981-01,8.762,
1981-02,8.865,
1981-03,8.951,
1981-04,9.067,
1981-05,9.138,
1981-06,9.037,
1981-07,9.011,
1981-08,9.036,
1981-09,9.091,
1981-10,9.175,
1981-11,9.230,
1981-12,9.117,
1982-01,9.055,
1982-02,9.055,
1982-03,9.048,
1982-04,9.032,
1982-05,9.021,
1982-06,9.049,
1982-07,9.025,
1982-08,9.156,
1982-09,9.006,
1982-10,9.058,
1982-11,9.185,
1982-12,9.019,
1983-01,9.130,
1983-02,9.206,
1983-03,9.088,
1983-04,9.111,
1983-05,9.152,
1983-06,9.125,
1983-07,9.309,
1983-08,9.432,
1983-09,9.454,
1983-10,9.310,
1983-11,9.349,
1983-12,9.243,
1984-01,9.276,
1984-02,9.299,
1984-03,9.235,
1984-04,9.202,
1984-05,9.250,
1984-06,9.209,
1984-07,9.183,
1984-08,9.246,
1984-09,9.406,
1984-10,9.498,
1984-11,9.407,
1984-12,9.436,
1985-01,9.551,
1985-02,9.515,
1985-03,9.611,
1985-04,9.699,
1985-05,9.860,
1985-06,9.915,
1985-07,10.130,
1985-08,10.255,
1985-09,10.304,
1985-10,10.471,
1985-11,10.531,
1985-12,10.521,
1986-01,10.627,
1986-02,10.713,
1986-03,10.700,
1986-04,10.734,
1986-05,11.006,
1986-06,11.044,
1986-07,11.104,
1986-08,11.337,
1986-09,11.512,
1986-10,11.704,
1986-11,11.949,
1986-12,16.692,
1987-01,16.660,
1987-02,16.980,
1987-03,16.877,
1987-04,17.079,
1987-05,17.429,
1987-06,17.449,
1987-07,17.476,
1987-08,17.900,
1987-09,18.059,
1987-10,18.379,
1987-11,18.724,
1987-12,18.974,
1988-01,19.293,
1988-02,19.428,
1988-03,19.592,
1988-04,19.950,
1988-05,20.137,
1988-06,19.196,
1988-07,19.366,
1988-08,19.496,
1988-09,19.872,
1988-10,20.024,
1988-11,20.150,
1988-12,20.663,
1989-01,20.735,
1989-02,20.864,
1989-03,20.958,
1989-04,21.305,
1989-05,21.475,
1989-06,21.522,
1989-07,21.634,
1989-08,21.728,
1989-09,22.104,
1989-10,22.382,
1989-11,22.428,
1989-12,22.956,
1990-01,22.997,
1990-02,23.329,
1990-03,23.633,
1990-04,23.907,
1990-05,24.086,
1990-06,25.936,
1990-07,26.548,
1990-08,26.770,
1990-09,84.540,
1990-10,87.460,
1990-11,86.521,
1990-12,86.893,
1991-01,86.647,
1991-02,86.823,
1991-03,86.681,
1991-04,89.525,
1991-05,91.638,
1991-06,91.461,
1991-07,91.447,
1991-08,91.068,
1991-09,91.129,
1991-10,91.509,
1991-11,91.762,
1991-12,83.907,
1992-01,84.334,
1992-02,83.744,
1992-03,83.364,
1992-04,81.459,
1992-05,79.708,
1992-06,84.713,
1992-07,81.223,
1992-08,81.569,
1992-09,81.903,
1992-10,80.001,
1992-11,79.804,
1992-12,73.561,
1993-01,35.655,
1993-02,35.336,
1993-03,34.799,
1993-04,35.014,
1993-05,34.928,
1993-06,35.244,
1993-07,35.421,
1993-08,35.954,
1993-09,35.993,
1993-10,36.391,
1993-11,36.638,
1993-12,36.515,
1994-01,36.249,
1994-02,36.317,
1994-03,36.223,
1994-04,36.698,
1994-05,36.921,
1994-06,37.041,
1994-07,37.039,
1994-08,37.214,
1994-09,40.595,
1994-10,41.832,
1994-11,41.844,
1994-12,41.524,
1995-01,41.406,
1995-02,41.526,
1995-03,41.272,
1995-04,41.449,
1995-05,41.479,
1995-06,53.977,
1995-07,43.319,
1995-08,43.227,
1995-09,43.268,
1995-10,43.268,
1995-11,43.790,
1995-12,43.627,
1996-01,43.300,
1996-02,43.976,
1996-03,44.175,
1996-04,44.232,
1996-05,44.543,
1996-06,44.543,
1996-07,44.291,
1996-08,44.298,
1996-09,44.186,
1996-10,43.447,
1996-11,43.596,
1996-12,43.655,
1997-01,43.674,
1997-02,43.940,
