"",BBSF2.M.1.P.00000.GEF01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEF01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed funds / Shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:58,
2004-01,1267,
2004-02,1241,
2004-03,1208,
2004-04,1169,
2004-05,1147,
2004-06,1181,
2004-07,1140,
2004-08,1111,
2004-09,1148,
2004-10,1140,
2004-11,1123,
2004-12,1135,
2005-01,1123,
2005-02,1117,
2005-03,1103,
2005-04,1037,
2005-05,1060,
2005-06,1084,
2005-07,1085,
2005-08,1076,
2005-09,1128,
2005-10,1106,
2005-11,1224,
2005-12,1270,
2006-01,1357,
2006-02,1402,
2006-03,1408,
2006-04,1428,
2006-05,1342,
2006-06,1301,
2006-07,1398,
2006-08,1414,
2006-09,1425,
2006-10,1596,
2006-11,1572,
2006-12,1628,
2007-01,1619,
2007-02,1659,
2007-03,1674,
2007-04,1734,
2007-05,1745,
2007-06,1707,
2007-07,1649,
2007-08,1569,
2007-09,1616,
2007-10,1613,
2007-11,1632,
2007-12,1613,
2008-01,1438,
2008-02,1460,
2008-03,1478,
2008-04,1633,
2008-05,1682,
2008-06,1430,
2008-07,1441,
2008-08,1486,
2008-09,1337,
2008-10,1111,
2008-11,1450,
2008-12,1511,
2009-01,1262,
2009-02,1250,
2009-03,1298,
2009-04,1738,
2009-05,2229,
2009-06,2165,
2009-07,2492,
2009-08,2445,
2009-09,2313,
2009-10,727,
2009-11,782,
2009-12,808,
2010-01,863,
2010-02,875,
2010-03,1010,
2010-04,1375,
2010-05,1201,
2010-06,956,
2010-07,982,
2010-08,956,
2010-09,956,
2010-10,1079,
2010-11,1044,
2010-12,1033,
2011-01,1077,
2011-02,1051,
2011-03,1100,
2011-04,1150,
2011-05,1073,
2011-06,1060,
2011-07,1010,
2011-08,862,
2011-09,803,
2011-10,951,
2011-11,925,
2011-12,918,
2012-01,995,
2012-02,991,
2012-03,979,
2012-04,963,
2012-05,892,
2012-06,859,
2012-07,920,
2012-08,947,
2012-09,989,
2012-10,1010,
2012-11,1054,
2012-12,1074,
2013-01,1115,
2013-02,1144,
2013-03,1247,
2013-04,1226,
2013-05,1402,
2013-06,1075,
2013-07,1127,
2013-08,1142,
2013-09,1216,
2013-10,1300,
2013-11,1342,
2013-12,1337,
2014-01,1290,
2014-02,1338,
2014-03,1336,
2014-04,1301,
2014-05,1318,
2014-06,1358,
2014-07,1281,
2014-08,1052,
2014-09,1043,
2014-10,1033,
2014-11,1108,
