"",BBK01.PQE356,BBK01.PQE356_FLAGS
"",Lending to domestic enterprises / Medium-term / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:32,
1968-10,0.088,
1969-01,0.092,
1969-04,0.089,
1969-07,0.089,
1969-10,0.134,
1970-01,0.116,
1970-04,0.146,
1970-07,0.143,
1970-10,0.129,
1971-01,0.143,
1971-04,0.153,
1971-07,0.132,
1971-10,0.181,
1972-01,0.169,
1972-04,0.201,
1972-07,0.266,
1972-10,0.330,
1973-01,0.365,
1973-04,0.318,
1973-07,0.344,
1973-10,0.335,
1974-01,0.352,
1974-04,0.365,
1974-07,0.333,
1974-10,0.371,
1975-01,0.344,
1975-04,0.348,
1975-07,0.373,
1975-10,0.335,
1976-01,0.358,
1976-04,0.278,
1976-07,0.217,
1976-10,0.219,
1977-01,0.208,
1977-04,0.193,
1977-07,0.157,
1977-10,0.156,
1978-01,0.151,
1978-04,0.158,
1978-07,0.167,
1978-10,0.206,
1979-01,0.199,
1979-04,0.242,
1979-07,0.231,
1979-10,0.246,
1980-01,0.243,
1980-04,0.224,
1980-07,0.230,
1980-10,0.232,
1981-01,0.221,
1981-04,0.249,
1981-07,0.229,
1981-10,0.206,
1982-01,0.179,
1982-04,0.195,
1982-07,0.197,
1982-10,0.198,
1983-01,0.202,
1983-04,0.228,
1983-07,0.223,
1983-10,0.219,
1984-01,0.223,
1984-04,0.238,
1984-07,0.225,
1984-10,0.266,
1985-01,0.302,
1985-04,0.307,
1985-07,0.339,
1985-10,0.400,
1986-01,0.390,
1986-04,0.335,
1986-07,0.314,
1986-10,0.298,
1987-01,0.300,
1987-04,0.309,
1987-07,0.333,
1987-10,0.348,
1988-01,0.364,
1988-04,0.324,
1988-07,0.354,
1988-10,0.332,
1989-01,0.355,
1989-04,0.325,
1989-07,0.287,
1989-10,0.245,
1990-01,0.215,
1990-04,0.217,
1990-07,0.194,
1990-10,0.183,
1991-01,0.153,
1991-04,0.179,
1991-07,0.176,
1991-10,0.164,
1992-01,0.156,
1992-04,0.127,
1992-07,0.140,
1992-10,0.152,
1993-01,0.156,
1993-04,0.197,
1993-07,0.215,
1993-10,0.304,
1994-01,0.321,
1994-04,0.323,
1994-07,0.330,
1994-10,0.273,
1995-01,0.339,
1995-04,0.380,
1995-07,0.403,
1995-10,0.446,
1996-01,0.518,
1996-04,0.511,
1996-07,0.565,
1996-10,0.548,
1997-01,0.568,
1997-04,0.761,
1997-07,0.843,
1997-10,0.845,
1998-01,1.003,
1998-04,1.010,
1998-07,1.020,
1998-10,1.001,
1999-01,1.642,
1999-04,1.452,
1999-07,1.681,
1999-10,1.824,
2000-01,1.906,
2000-04,1.904,
2000-07,1.904,
2000-10,2.349,
2001-01,2.637,
2001-04,2.441,
2001-07,2.544,
2001-10,2.660,
2002-01,2.834,
2002-04,2.717,
2002-07,2.958,
2002-10,3.068,
2003-01,2.805,
2003-04,3.154,
2003-07,3.160,
2003-10,3.408,
2004-01,3.318,
2004-04,3.442,
2004-07,3.542,
2004-10,3.425,
2005-01,3.548,
2005-04,4.034,
2005-07,4.938,
2005-10,5.601,
2006-01,5.867,
2006-04,6.292,
2006-07,7.351,
2006-10,6.912,
2007-01,8.240,
2007-04,9.424,
2007-07,9.795,
2007-10,9.621,
2008-01,11.684,
2008-04,11.284,
2008-07,11.286,
2008-10,10.924,
2009-01,11.514,
2009-04,10.996,
2009-07,10.570,
2009-10,12.477,
2010-01,11.289,
2010-04,11.484,
2010-07,11.914,
2010-10,11.616,
2011-01,11.367,
2011-04,10.429,
2011-07,10.664,
2011-10,10.935,
2012-01,11.129,
2012-04,11.111,
2012-07,10.826,
2012-10,10.354,
2013-01,10.175,
2013-04,9.728,
2013-07,9.616,
2013-10,9.235,
2014-01,10.213,
2014-04,10.488,
2014-07,10.751,
2014-10,11.681,
