"",BBK01.OEAE24T,BBK01.OEAE24T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:11,
2002-01,0.030,
2002-04,0.028,
2002-07,0.030,
2002-10,0.029,
2003-01,0.030,
2003-04,0.030,
2003-07,0.034,
2003-10,0.031,
2004-01,0.033,
2004-04,0.032,
2004-07,0.032,
2004-10,0.030,
2005-01,0.038,
2005-04,0.038,
2005-07,0.041,
2005-10,0.041,
2006-01,0.039,
2006-04,0.037,
2006-07,0.039,
2006-10,0.037,
2007-01,0.035,
2007-04,0.036,
2007-07,0.038,
2007-10,0.030,
2008-01,0.033,
2008-04,0.031,
2008-07,0.026,
2008-10,0.026,
2009-01,0.034,
2009-04,0.037,
2009-07,0.030,
2009-10,0.030,
2010-01,0.033,
2010-04,0.041,
2010-07,0.048,
2010-10,0.051,
2011-01,0.047,
2011-04,0.052,
2011-07,0.047,
2011-10,0.055,
2012-01,0.045,
2012-04,0.044,
2012-07,0.047,
2012-10,0.047,
2013-01,0.046,
2013-04,0.046,
2013-07,0.049,
2013-10,0.060,
2014-01,0.053,
2014-04,0.050,
2014-07,0.052,
