"",BBK01.OEXO01L,BBK01.OEXO01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:50,
2002-01,2.971,
2002-04,2.894,
2002-07,3.033,
2002-10,4.009,
2003-01,4.710,
2003-04,5.248,
2003-07,5.242,
2003-10,5.187,
2004-01,5.149,
2004-04,5.125,
2004-07,5.038,
2004-10,5.059,
2005-01,5.057,
2005-04,5.103,
2005-07,5.091,
2005-10,4.978,
2006-01,5.030,
2006-04,5.126,
2006-07,5.198,
2006-10,5.363,
2007-01,5.405,
2007-04,5.592,
2007-07,5.415,
2007-10,4.778,
2008-01,4.320,
2008-04,3.987,
2008-07,3.916,
2008-10,3.869,
2009-01,4.563,
2009-04,4.850,
2009-07,5.082,
2009-10,5.951,
2010-01,5.768,
2010-04,5.485,
2010-07,4.697,
2010-10,4.638,
2011-01,4.783,
2011-04,5.554,
2011-07,4.579,
2011-10,4.548,
2012-01,4.401,
2012-04,4.249,
2012-07,4.339,
2012-10,4.213,
2013-01,4.021,
2013-04,3.945,
2013-07,3.950,
2013-10,4.091,
2014-01,4.228,
2014-04,4.255,
2014-07,4.305,
