"",BBK01.SUD254,BBK01.SUD254_FLAGS
"",New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 10 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:49,
2010-06,2333,
2010-07,1582,
2010-08,1570,
2010-09,2046,
2010-10,1805,
2010-11,2421,
2010-12,3947,
2011-01,1781,
2011-02,1700,
2011-03,1673,
2011-04,2249,
2011-05,1726,
2011-06,1955,
2011-07,1562,
2011-08,1847,
2011-09,2303,
2011-10,1972,
2011-11,2282,
2011-12,3338,
2012-01,1403,
2012-02,1194,
2012-03,2046,
2012-04,1252,
2012-05,1572,
2012-06,3323,
2012-07,2123,
2012-08,2086,
2012-09,2172,
2012-10,1487,
2012-11,2486,
2012-12,3347,
2013-01,1530,
2013-02,1486,
2013-03,1743,
2013-04,1417,
2013-05,2208,
2013-06,2886,
2013-07,1628,
2013-08,1677,
2013-09,1815,
2013-10,1473,
2013-11,2113,
2013-12,3459,
2014-01,1332,
2014-02,1568,
2014-03,1785,
2014-04,1296,
2014-05,1675,
2014-06,2385,
2014-07,1613,
2014-08,1883,
2014-09,2531,
2014-10,2359,
2014-11,2698,
2014-12,4699,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. p = Provisional,
