"",BBDE1.M.DE.Y.AEN1.A2P350000.F.V.I10.A,BBDE1.M.DE.Y.AEN1.A2P350000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:57,
2010-01,100.8,
2010-02,94.9,
2010-03,99.5,
2010-04,97.7,
2010-05,99.7,
2010-06,100.5,
2010-07,100.1,
2010-08,99.6,
2010-09,100.6,
2010-10,99.3,
2010-11,101.1,
2010-12,100.9,
2011-01,100.0,
2011-02,102.2,
2011-03,100.6,
2011-04,103.2,
2011-05,104.4,
2011-06,103.6,
2011-07,106.5,
2011-08,104.7,
2011-09,107.3,
2011-10,104.3,
2011-11,102.9,
2011-12,102.4,
2012-01,100.0,
2012-02,100.9,
2012-03,101.2,
2012-04,99.4,
2012-05,100.3,
2012-06,98.8,
2012-07,98.7,
2012-08,100.1,
2012-09,97.5,
2012-10,99.8,
2012-11,96.6,
2012-12,96.7,
2013-01,99.2,
2013-02,100.0,
2013-03,99.6,
2013-04,101.0,
2013-05,100.3,
2013-06,101.2,
2013-07,100.3,
2013-08,100.1,
2013-09,100.2,
2013-10,100.4,
2013-11,102.3,
2013-12,100.3,
2014-01,105.2,
2014-02,103.3,
2014-03,103.8,
2014-04,105.6,
2014-05,102.0,
2014-06,104.8,
2014-07,103.2,
2014-08,102.6,
2014-09,100.6,
2014-10,101.6,
2014-11,100.9,
2014-12,106.5,Provisional value
