"",BBK01.OEXM05G,BBK01.OEXM05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:54,
2002-01,0.628,
2002-04,0.617,
2002-07,0.616,
2002-10,0.611,
2003-01,0.593,
2003-04,0.601,
2003-07,0.608,
2003-10,0.553,
2004-01,0.584,
2004-04,0.535,
2004-07,0.216,
2004-10,0.226,
2005-01,0.244,
2005-04,0.234,
2005-07,0.051,
2005-10,0.064,
2006-01,0.065,
2006-04,0.064,
2006-07,0.039,
2006-10,0.049,
2007-01,0.049,
2007-04,0.052,
2007-07,0.052,
2007-10,0.048,
2008-01,0.048,
2008-04,0.054,
2008-07,0.051,
2008-10,0.057,
2009-01,0.066,
2009-04,0.086,
2009-07,0.082,
2009-10,0.083,
2010-01,0.081,
2010-04,0.079,
2010-07,0.084,
2010-10,0.084,
2011-01,0.082,
2011-04,0.089,
2011-07,0.122,
2011-10,0.164,
2012-01,0.175,
2012-04,0.168,
2012-07,0.208,
2012-10,0.289,
2013-01,0.287,
2013-04,0.284,
2013-07,0.347,
2013-10,0.401,
2014-01,0.526,
2014-04,0.536,
2014-07,0.528,
