"",BBNZ1.Q.DE.S.G.0325.A,BBNZ1.Q.DE.S.G.0325.A_FLAGS
"",Germany / National accounts / Households' income / Disposable income / Including the increase in claims on company pension funds / Seasonally adjusted only,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:08,
1991-01,247.152,
1991-04,256.078,
1991-07,252.484,
1991-10,262.220,
1992-01,268.366,
1992-04,270.243,
1992-07,273.489,
1992-10,281.249,
1993-01,277.729,
1993-04,282.658,
1993-07,284.366,
1993-10,288.946,
1994-01,291.474,
1994-04,289.623,
1994-07,294.377,
1994-10,296.879,
1995-01,297.518,
1995-04,302.142,
1995-07,303.001,
1995-10,302.812,
1996-01,305.681,
1996-04,306.054,
1996-07,307.587,
1996-10,306.495,
1997-01,307.911,
1997-04,311.737,
1997-07,311.831,
1997-10,313.897,
1998-01,314.098,
1998-04,314.128,
1998-07,316.634,
1998-10,319.898,
1999-01,320.944,
1999-04,321.731,
1999-07,323.666,
1999-10,329.253,
2000-01,331.510,
2000-04,331.734,
2000-07,331.602,
2000-10,331.369,
2001-01,342.997,
2001-04,344.882,
2001-07,345.639,
2001-10,346.456,
2002-01,343.780,
2002-04,344.513,
2002-07,347.838,
2002-10,350.517,
2003-01,354.259,
2003-04,354.984,
2003-07,356.349,
2003-10,359.303,
2004-01,359.935,
2004-04,360.408,
2004-07,361.011,
2004-10,365.290,
2005-01,363.002,
2005-04,368.142,
2005-07,370.558,
2005-10,373.953,
2006-01,374.975,
2006-04,376.880,
2006-07,377.749,
2006-10,384.439,
2007-01,381.707,
2007-04,383.014,
2007-07,385.180,
2007-10,390.754,
2008-01,391.573,
2008-04,398.696,
2008-07,398.590,
2008-10,390.165,
2009-01,390.797,
2009-04,392.548,
2009-07,389.294,
2009-10,391.537,
2010-01,395.631,
2010-04,399.660,
2010-07,402.371,
2010-10,407.385,
2011-01,412.206,
2011-04,415.333,
2011-07,417.561,
2011-10,420.917,
2012-01,426.306,
2012-04,423.093,
2012-07,422.980,
2012-10,426.577,
2013-01,427.719,
2013-04,431.067,
2013-07,435.289,
2013-10,434.402,
2014-01,436.598,
2014-04,439.886,
2014-07,444.594,
2014-10,449.280,
