"",BBFB1.Q.N.DE.I7.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:49,
1991-01,4503.116,
1991-04,3887.780,
1991-07,5110.330,
1991-10,5255.889,
1992-01,6372.243,
1992-04,5006.615,
1992-07,6527.003,
1992-10,4108.334,
1993-01,6437.958,
1993-04,4992.137,
1993-07,3859.120,
1993-10,4482.074,
1994-01,6537.350,
1994-04,5516.802,
1994-07,5091.123,
1994-10,5346.718,
1995-01,5907.354,
1995-04,5288.803,
1995-07,5146.686,
1995-10,6445.814,
1996-01,6877.145,
1996-04,5194.801,
1996-07,6061.080,
1996-10,5842.275,
1997-01,5060.320,
1997-04,5354.068,
1997-07,4787.895,
1997-10,6366.551,
1998-01,6840.209,
1998-04,6270.946,
1998-07,6169.239,
1998-10,7643.733,
1999-01,7860.846,
1999-04,8168.026,
1999-07,7377.272,
1999-10,11456.018,
2000-01,14246.519,
2000-04,12750.408,
2000-07,8896.724,
2000-10,10344.439,
2001-01,15528.730,
2001-04,10849.792,
2001-07,11822.326,
2001-10,13953.597,
2002-01,17809.633,
2002-04,18053.191,
2002-07,15170.695,
2002-10,16899.923,
2003-01,16993.675,
2003-04,15424.531,
2003-07,16668.646,
2003-10,19141.421,
2004-01,20418.581,
2004-04,21639.516,
2004-07,18281.086,
2004-10,19750.083,
2005-01,24146.233,
2005-04,24713.637,
2005-07,20917.521,
2005-10,25645.786,
2006-01,27451.934,
2006-04,24589.846,
2006-07,21401.379,
2006-10,21905.709,
2007-01,32220.567,
2007-04,30290.537,
2007-07,25322.803,
2007-10,28605.472,
2008-01,29363.278,
2008-04,28832.398,
2008-07,21608.522,
2008-10,19205.907,
2009-01,18580.238,
2009-04,17592.172,
2009-07,17781.400,
2009-10,20079.372,
2010-01,20790.279,
2010-04,19735.478,
2010-07,17586.332,
2010-10,20433.323,
2011-01,21349.663,
2011-04,16638.328,
2011-07,16846.255,
2011-10,14247.677,
2012-01,17850.524,
2012-04,13321.344,
2012-07,11475.792,
2012-10,11156.047,
2013-01,15154.284,
2013-04,12859.670,
2013-07,10283.978,
2013-10,9984.482,
2014-01,15616.585,Provisional value
2014-04,12354.874,Provisional value
2014-07,12135.507,Provisional value
