"",BBK01.OEAF13Q,BBK01.OEAF13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:26,
2002-01,0.102,
2002-04,0.103,
2002-07,0.107,
2002-10,0.124,
2003-01,0.118,
2003-04,0.153,
2003-07,0.146,
2003-10,0.143,
2004-01,0.132,
2004-04,0.106,
2004-07,0.117,
2004-10,0.143,
2005-01,0.117,
2005-04,0.122,
2005-07,0.135,
2005-10,0.126,
2006-01,0.118,
2006-04,0.101,
2006-07,0.108,
2006-10,0.099,
2007-01,0.107,
2007-04,0.113,
2007-07,0.080,
2007-10,0.078,
2008-01,0.076,
2008-04,0.073,
2008-07,0.073,
2008-10,0.070,
2009-01,0.068,
2009-04,0.069,
2009-07,0.066,
2009-10,0.067,
2010-01,0.075,
2010-04,0.080,
2010-07,0.088,
2010-10,0.075,
2011-01,0.078,
2011-04,0.079,
2011-07,0.084,
2011-10,0.072,
2012-01,0.068,
2012-04,0.079,
2012-07,0.073,
2012-10,0.075,
2013-01,0.072,
2013-04,0.079,
2013-07,0.083,
2013-10,0.081,
2014-01,0.077,
2014-04,0.084,
2014-07,0.092,
