"",BBK01.OEAN03R,BBK01.OEAN03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:12,
2002-01,2.056,
2002-04,2.032,
2002-07,1.983,
2002-10,2.047,
2003-01,2.037,
2003-04,2.037,
2003-07,2.039,
2003-10,2.021,
2004-01,1.924,
2004-04,1.860,
2004-07,1.852,
2004-10,1.815,
2005-01,1.690,
2005-04,1.645,
2005-07,1.689,
2005-10,1.671,
2006-01,1.644,
2006-04,1.595,
2006-07,1.562,
2006-10,1.532,
2007-01,1.495,
2007-04,1.409,
2007-07,1.375,
2007-10,1.375,
2008-01,1.378,
2008-04,1.337,
2008-07,1.298,
2008-10,1.291,
2009-01,1.327,
2009-04,1.366,
2009-07,1.489,
2009-10,1.497,
2010-01,1.544,
2010-04,1.579,
2010-07,1.616,
2010-10,1.362,
2011-01,1.475,
2011-04,1.477,
2011-07,1.470,
2011-10,1.471,
2012-01,1.340,
2012-04,1.351,
2012-07,1.381,
2012-10,1.438,
2013-01,1.506,
2013-04,1.527,
2013-07,1.554,
2013-10,1.534,
2014-01,1.643,
2014-04,1.671,
2014-07,1.705,
