"",BBK01.OEAC57T,BBK01.OEAC57T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:52,
2002-01,2.192,
2002-04,2.187,
2002-07,2.168,
2002-10,2.201,
2003-01,2.677,
2003-04,2.688,
2003-07,3.604,
2003-10,3.676,
2004-01,3.613,
2004-04,3.593,
2004-07,3.645,
2004-10,3.620,
2005-01,3.668,
2005-04,3.704,
2005-07,3.724,
2005-10,3.773,
2006-01,3.763,
2006-04,3.730,
2006-07,3.731,
2006-10,3.822,
2007-01,3.790,
2007-04,3.802,
2007-07,3.796,
2007-10,3.591,
2008-01,3.729,
2008-04,3.780,
2008-07,3.804,
2008-10,3.932,
2009-01,4.017,
2009-04,4.637,
2009-07,4.687,
2009-10,4.521,
2010-01,4.821,
2010-04,4.887,
2010-07,4.980,
2010-10,4.922,
2011-01,4.997,
2011-04,5.062,
2011-07,5.076,
2011-10,5.119,
2012-01,5.319,
2012-04,5.287,
2012-07,5.276,
2012-10,5.317,
2013-01,5.387,
2013-04,5.620,
2013-07,5.582,
2013-10,5.653,
2014-01,5.867,
2014-04,5.979,
2014-07,5.961,
