"",BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:45,
1991-01,188.034,
1991-04,-38.279,
1991-07,158.847,
1991-10,-648.456,
1992-01,544.625,
1992-04,-885.342,
1992-07,-340.133,
1992-10,38.300,
1993-01,-14.925,
1993-04,20.111,
1993-07,174.552,
1993-10,83.917,
1994-01,575.935,
1994-04,400.331,
1994-07,346.530,
1994-10,625.672,
1995-01,9.493,
1995-04,-206.515,
1995-07,-288.926,
1995-10,-11.115,
1996-01,-224.627,
1996-04,172.381,
1996-07,282.360,
1996-10,-400.929,
1997-01,443.440,
1997-04,583.732,
1997-07,-147.055,
1997-10,112.189,
1998-01,337.122,
1998-04,-1064.391,
1998-07,-718.029,
1998-10,250.883,
1999-01,192.976,
1999-04,-166.406,
1999-07,12.178,
1999-10,187.778,
2000-01,1141.377,
2000-04,268.809,
2000-07,-554.669,
2000-10,655.394,
2001-01,-410.027,
2001-04,147.069,
2001-07,-24.706,
2001-10,-602.532,
2002-01,46.332,
2002-04,-223.269,
2002-07,-97.535,
2002-10,-44.522,
2003-01,177.672,
2003-04,730.972,
2003-07,-222.318,
2003-10,305.564,
2004-01,627.721,
2004-04,767.967,
2004-07,906.455,
2004-10,-591.154,
2005-01,515.841,
2005-04,937.324,
2005-07,697.488,
2005-10,-235.435,
2006-01,1078.464,
2006-04,1126.743,
2006-07,-93.810,
2006-10,1479.168,
2007-01,963.741,
2007-04,877.859,
2007-07,-533.571,
2007-10,-226.497,
2008-01,1312.125,
2008-04,676.376,
2008-07,-849.133,
2008-10,-1733.736,
2009-01,-594.193,
2009-04,-109.855,
2009-07,-30.763,
2009-10,495.565,
2010-01,-105.551,
2010-04,-278.592,
2010-07,685.262,
2010-10,1579.059,
2011-01,665.169,
2011-04,-342.814,
2011-07,-134.863,
2011-10,-351.415,
2012-01,2447.050,
2012-04,635.510,
2012-07,1559.242,
2012-10,562.480,
2013-01,816.886,
2013-04,996.118,
2013-07,1589.471,
2013-10,1131.765,
2014-01,1727.191,Provisional value
2014-04,1209.726,Provisional value
2014-07,854.009,Provisional value
2014-10,913.381,Provisional value
