"",BBK01.OEAB04I,BBK01.OEAB04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:39,
2002-01,99.386,
2002-04,104.177,
2002-07,98.293,
2002-10,96.399,
2003-01,94.044,
2003-04,83.280,
2003-07,81.535,
2003-10,78.531,
2004-01,78.082,
2004-04,77.900,
2004-07,77.811,
2004-10,77.263,
2005-01,80.476,
2005-04,80.896,
2005-07,81.441,
2005-10,83.092,
2006-01,81.404,
2006-04,82.214,
2006-07,92.309,
2006-10,92.723,
2007-01,92.516,
2007-04,92.732,
2007-07,92.785,
2007-10,93.209,
2008-01,94.229,
2008-04,97.004,
2008-07,98.103,
2008-10,98.931,
2009-01,99.154,
2009-04,101.884,
2009-07,112.180,
2009-10,112.378,
2010-01,111.967,
2010-04,112.695,
2010-07,114.625,
2010-10,115.078,
2011-01,114.716,
2011-04,114.445,
2011-07,114.538,
2011-10,116.685,
2012-01,116.656,
2012-04,115.914,
2012-07,115.837,
2012-10,115.147,
2013-01,113.700,
2013-04,114.540,
2013-07,114.983,
2013-10,115.461,
2014-01,113.849,
2014-04,114.169,
2014-07,113.533,
