"",BBK01.OEYI06N,BBK01.OEYI06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:10,
2002-01,0.012,
2002-04,0.015,
2002-07,0.016,
2002-10,0.017,
2003-01,0.016,
2003-04,0.016,
2003-07,0.018,
2003-10,0.018,
2004-01,0.021,
2004-04,0.019,
2004-07,0.022,
2004-10,0.023,
2005-01,0.022,
2005-04,0.022,
2005-07,0.022,
2005-10,0.022,
2006-01,0.021,
2006-04,0.024,
2006-07,0.026,
2006-10,0.026,
2007-01,0.355,
2007-04,0.355,
2007-07,0.353,
2007-10,0.347,
2008-01,0.346,
2008-04,0.337,
2008-07,0.021,
2008-10,0.028,
2009-01,0.033,
2009-04,0.233,
2009-07,0.236,
2009-10,0.044,
2010-01,0.245,
2010-04,0.060,
2010-07,0.059,
2010-10,0.061,
2011-01,0.060,
2011-04,0.059,
2011-07,0.060,
2011-10,0.064,
2012-01,0.121,
2012-04,0.123,
2012-07,0.123,
2012-10,0.113,
2013-01,0.092,
2013-04,0.088,
2013-07,0.080,
2013-10,0.074,
2014-01,0.069,
2014-04,0.050,
2014-07,0.048,
