"",BBK01.OEAC02R,BBK01.OEAC02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:39,
2002-01,0.954,
2002-04,0.896,
2002-07,0.938,
2002-10,0.970,
2003-01,0.973,
2003-04,0.917,
2003-07,0.889,
2003-10,0.888,
2004-01,0.853,
2004-04,0.867,
2004-07,0.872,
2004-10,0.836,
2005-01,0.807,
2005-04,0.834,
2005-07,0.766,
2005-10,0.747,
2006-01,0.731,
2006-04,0.744,
2006-07,0.720,
2006-10,0.696,
2007-01,0.664,
2007-04,0.657,
2007-07,0.651,
2007-10,0.644,
2008-01,0.622,
2008-04,0.579,
2008-07,0.573,
2008-10,0.599,
2009-01,0.646,
2009-04,0.620,
2009-07,0.543,
2009-10,0.536,
2010-01,0.553,
2010-04,0.547,
2010-07,0.529,
2010-10,0.522,
2011-01,0.543,
2011-04,0.549,
2011-07,0.553,
2011-10,0.538,
2012-01,0.547,
2012-04,0.533,
2012-07,0.522,
2012-10,0.524,
2013-01,0.541,
2013-04,0.535,
2013-07,0.517,
2013-10,0.503,
2014-01,0.507,
2014-04,0.494,
2014-07,0.477,
