"",BBK01.OEXK03U,BBK01.OEXK03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:15,
2002-01,0.035,
2002-04,0.033,
2002-07,0.030,
2002-10,0.032,
2003-01,0.030,
2003-04,0.036,
2003-07,0.033,
2003-10,0.035,
2004-01,0.032,
2004-04,0.031,
2004-07,0.035,
2004-10,0.033,
2005-01,0.035,
2005-04,0.035,
2005-07,0.037,
2005-10,0.036,
2006-01,0.035,
2006-04,0.037,
2006-07,0.040,
2006-10,0.042,
2007-01,0.042,
2007-04,0.041,
2007-07,0.044,
2007-10,0.049,
2008-01,0.050,
2008-04,0.063,
2008-07,0.071,
2008-10,0.072,
2009-01,0.042,
2009-04,0.031,
2009-07,0.014,
2009-10,0.011,
2010-01,0.012,
2010-04,0.011,
2010-07,0.013,
2010-10,0.015,
2011-01,0.014,
2011-04,0.016,
2011-07,0.017,
2011-10,0.021,
2012-01,0.034,
2012-04,0.037,
2012-07,0.039,
2012-10,0.027,
2013-01,0.024,
2013-04,0.022,
2013-07,0.021,
2013-10,0.023,
2014-01,0.023,
2014-04,0.022,
2014-07,0.023,
