"",BBK01.CEFM01,BBK01.CEFM01_FLAGS
"",Currency                                                           debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:41,
1999-01,6.9,
1999-04,7.2,
1999-07,7.2,
1999-10,8.5,
2000-01,7.1,
2000-04,7.2,
2000-07,7.4,
2000-10,8.2,
2001-01,7.1,
2001-04,7.2,
2001-07,7.1,
2001-10,7.1,
2002-01,5.7,
2002-04,4.8,
2002-07,4.5,
2002-10,6.0,
2003-01,4.4,
2003-04,4.5,
2003-07,4.5,
2003-10,5.9,
2004-01,4.4,
2004-04,4.5,
2004-07,4.5,
2004-10,5.2,
2005-01,4.7,
2005-04,4.7,
2005-07,4.8,
2005-10,5.2,
2006-01,4.6,
2006-04,4.7,
2006-07,4.9,
2006-10,5.6,
2007-01,4.7,
2007-04,4.9,
2007-07,4.9,
2007-10,6.1,
2008-01,4.9,
2008-04,4.8,
2008-07,4.8,
2008-10,6.1,
2009-01,4.8,
2009-04,5.2,
2009-07,4.8,
2009-10,5.9,
2010-01,5.0,
2010-04,4.9,
2010-07,5.1,
2010-10,5.7,
2011-01,5.0,
2011-04,5.3,
2011-07,5.4,
2011-10,5.7,
2012-01,5.3,
2012-04,5.4,
2012-07,5.5,
2012-10,6.6,
2013-01,5.9,
2013-04,5.5,
2013-07,5.3,
2013-10,6.5,
2014-01,5.1,
2014-04,5.2,
2014-07,5.3,
