"",BBK01.OEHL07M,BBK01.OEHL07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:10,
2002-01,26.541,
2002-04,26.316,
2002-07,26.253,
2002-10,26.843,
2003-01,26.909,
2003-04,26.662,
2003-07,26.506,
2003-10,27.049,
2004-01,27.064,
2004-04,26.941,
2004-07,26.454,
2004-10,27.386,
2005-01,27.287,
2005-04,27.049,
2005-07,26.849,
2005-10,27.097,
2006-01,27.013,
2006-04,26.738,
2006-07,26.389,
2006-10,26.358,
2007-01,25.659,
2007-04,25.165,
2007-07,24.658,
2007-10,24.790,
2008-01,24.342,
2008-04,23.991,
2008-07,23.520,
2008-10,23.947,
2009-01,24.050,
2009-04,23.794,
2009-07,23.380,
2009-10,23.654,
2010-01,23.894,
2010-04,23.991,
2010-07,23.911,
2010-10,24.243,
2011-01,24.348,
2011-04,24.333,
2011-07,24.242,
2011-10,24.573,
2012-01,24.598,
2012-04,24.451,
2012-07,24.292,
2012-10,24.471,
2013-01,24.583,
2013-04,24.609,
2013-07,24.579,
2013-10,24.774,
2014-01,24.821,
2014-04,24.743,
2014-07,24.546,
