"",BBFB1.Q.N.DE.B5.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:20,
1991-01,10522.274,
1991-04,11021.221,
1991-07,11030.461,
1991-10,10986.329,
1992-01,10694.182,
1992-04,11049.929,
1992-07,11420.216,
1992-10,11068.516,
1993-01,11569.765,
1993-04,11425.494,
1993-07,10822.940,
1993-10,11242.774,
1994-01,10323.480,
1994-04,9954.939,
1994-07,10309.246,
1994-10,11951.993,
1995-01,10195.035,
1995-04,10329.412,
1995-07,9879.939,
1995-10,12562.205,
1996-01,10230.548,
1996-04,9952.213,
1996-07,10265.467,
1996-10,13461.075,
1997-01,11016.493,
1997-04,11769.447,
1997-07,11355.655,
1997-10,15718.125,
1998-01,11463.606,
1998-04,12117.289,
1998-07,11625.566,
1998-10,15097.066,
1999-01,12979.234,
1999-04,14898.565,
1999-07,14207.539,
1999-10,19215.970,
2000-01,16193.394,
2000-04,18717.604,
2000-07,17456.757,
2000-10,25958.886,
2001-01,18560.293,
2001-04,18573.781,
2001-07,16787.464,
2001-10,19983.454,
2002-01,17871.795,
2002-04,18241.704,
2002-07,17873.870,
2002-10,20843.545,
2003-01,18474.656,
2003-04,19062.854,
2003-07,18787.299,
2003-10,23319.408,
2004-01,22027.149,
2004-04,23727.800,
2004-07,23374.324,
2004-10,28281.101,
2005-01,25961.539,
2005-04,27737.080,
2005-07,27343.758,
2005-10,32544.608,
2006-01,31620.255,
2006-04,35943.634,
2006-07,35609.739,
2006-10,43753.006,
2007-01,43957.700,
2007-04,46259.662,
2007-07,42664.549,
2007-10,47247.912,
2008-01,38105.587,
2008-04,37424.215,
2008-07,32985.536,
2008-10,36282.950,
2009-01,32587.041,
2009-04,32938.230,
2009-07,31480.012,
2009-10,37730.296,
2010-01,32548.166,
2010-04,35371.649,
2010-07,34112.009,
2010-10,42562.977,
2011-01,37036.963,
2011-04,39961.366,
2011-07,38084.500,
2011-10,43867.600,
2012-01,37028.821,
2012-04,38064.080,
2012-07,36590.250,
2012-10,42143.362,
2013-01,36406.525,
2013-04,37450.815,
2013-07,35246.545,
2013-10,41972.721,
2014-01,34408.019,Provisional value
2014-04,36783.654,Provisional value
2014-07,34550.272,Provisional value
