"",BBK01.OELM01P,BBK01.OELM01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:29,
2002-01,0.120,
2002-04,0.130,
2002-07,0.127,
2002-10,0.079,
2003-01,0.070,
2003-04,0.056,
2003-07,0.066,
2003-10,0.089,
2004-01,0.084,
2004-04,0.072,
2004-07,0.083,
2004-10,0.077,
2005-01,0.084,
2005-04,0.072,
2005-07,0.071,
2005-10,0.120,
2006-01,0.101,
2006-04,0.107,
2006-07,0.102,
2006-10,0.148,
2007-01,0.126,
2007-04,0.119,
2007-07,0.110,
2007-10,0.208,
2008-01,0.135,
2008-04,0.122,
2008-07,0.135,
2008-10,0.199,
2009-01,0.146,
2009-04,0.133,
2009-07,0.171,
2009-10,0.251,
2010-01,0.174,
2010-04,0.183,
2010-07,0.199,
2010-10,0.330,
2011-01,0.231,
2011-04,0.240,
2011-07,0.243,
2011-10,0.310,
2012-01,0.228,
2012-04,0.317,
2012-07,0.328,
2012-10,0.409,
2013-01,0.242,
2013-04,0.283,
2013-07,0.258,
2013-10,0.355,
2014-01,0.265,
2014-04,0.265,
2014-07,0.207,
