"",BBK01.CEFK02,BBK01.CEFK02_FLAGS
"",Other equity                                            debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:03,
1999-01,139.1,
1999-04,142.4,
1999-07,150.9,
1999-10,157.0,
2000-01,161.4,
2000-04,167.5,
2000-07,176.0,
2000-10,182.4,
2001-01,189.6,
2001-04,198.4,
2001-07,203.6,
2001-10,230.5,
2002-01,240.5,
2002-04,246.0,
2002-07,261.3,
2002-10,266.9,
2003-01,259.7,
2003-04,268.0,
2003-07,268.2,
2003-10,267.7,
2004-01,267.1,
2004-04,268.6,
2004-07,270.9,
2004-10,267.7,
2005-01,272.6,
2005-04,284.3,
2005-07,289.5,
2005-10,317.1,
2006-01,260.2,
2006-04,268.2,
2006-07,270.5,
2006-10,281.8,
2007-01,291.3,
2007-04,312.8,
2007-07,337.9,
2007-10,351.8,
2008-01,348.7,
2008-04,347.6,
2008-07,358.4,
2008-10,370.1,
2009-01,368.3,
2009-04,354.0,
2009-07,349.0,
2009-10,339.2,
2010-01,327.8,
2010-04,314.9,
2010-07,314.9,
2010-10,315.1,
2011-01,319.9,
2011-04,315.5,
2011-07,318.2,
2011-10,309.3,
2012-01,314.4,
2012-04,314.3,
2012-07,318.7,
2012-10,342.5,
2013-01,346.9,
2013-04,343.4,
2013-07,340.3,
2013-10,328.9,
2014-01,331.5,
2014-04,329.6,
2014-07,328.6,
