"",BBK01.OEHI05P,BBK01.OEHI05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:53,
2002-01,0.061,
2002-04,0.059,
2002-07,0.059,
2002-10,0.057,
2003-01,0.055,
2003-04,0.049,
2003-07,0.076,
2003-10,0.072,
2004-01,0.072,
2004-04,0.078,
2004-07,0.077,
2004-10,0.074,
2005-01,0.088,
2005-04,0.085,
2005-07,0.086,
2005-10,0.060,
2006-01,0.062,
2006-04,0.052,
2006-07,0.050,
2006-10,0.059,
2007-01,0.044,
2007-04,0.041,
2007-07,0.041,
2007-10,0.037,
2008-01,0.036,
2008-04,0.033,
2008-07,0.031,
2008-10,0.028,
2009-01,0.029,
2009-04,0.028,
2009-07,0.029,
2009-10,0.027,
2010-01,0.027,
2010-04,0.024,
2010-07,0.024,
2010-10,0.021,
2011-01,0.021,
2011-04,0.020,
2011-07,0.016,
2011-10,0.016,
2012-01,0.014,
2012-04,0.014,
2012-07,0.014,
2012-10,0.014,
2013-01,0.013,
2013-04,0.013,
2013-07,0.013,
2013-10,0.019,
2014-01,0.013,
2014-04,0.012,
2014-07,0.013,
