"",BBK01.OEAC03J,BBK01.OEAC03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:43,
2002-01,0.445,
2002-04,0.452,
2002-07,0.520,
2002-10,0.572,
2003-01,0.618,
2003-04,0.585,
2003-07,0.586,
2003-10,0.604,
2004-01,0.652,
2004-04,0.662,
2004-07,0.643,
2004-10,0.642,
2005-01,0.791,
2005-04,0.783,
2005-07,0.788,
2005-10,0.792,
2006-01,0.789,
2006-04,0.793,
2006-07,0.810,
2006-10,0.811,
2007-01,0.849,
2007-04,0.892,
2007-07,0.884,
2007-10,0.886,
2008-01,0.878,
2008-04,0.974,
2008-07,0.942,
2008-10,1.010,
2009-01,1.110,
2009-04,1.138,
2009-07,1.164,
2009-10,1.200,
2010-01,0.214,
2010-04,1.275,
2010-07,1.240,
2010-10,1.296,
2011-01,1.309,
2011-04,1.288,
2011-07,1.364,
2011-10,1.461,
2012-01,1.318,
2012-04,1.397,
2012-07,1.482,
2012-10,1.539,
2013-01,1.637,
2013-04,1.593,
2013-07,1.591,
2013-10,1.587,
2014-01,1.588,
2014-04,1.662,
2014-07,1.682,
