"",BBK01.OEAH02R,BBK01.OEAH02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:33,
2002-01,5.470,
2002-04,5.517,
2002-07,5.671,
2002-10,5.900,
2003-01,5.449,
2003-04,5.541,
2003-07,5.712,
2003-10,6.006,
2004-01,5.662,
2004-04,5.820,
2004-07,6.011,
2004-10,6.257,
2005-01,6.072,
2005-04,6.138,
2005-07,6.407,
2005-10,6.738,
2006-01,6.291,
2006-04,6.385,
2006-07,6.619,
2006-10,6.876,
2007-01,6.568,
2007-04,6.623,
2007-07,6.920,
2007-10,6.857,
2008-01,6.527,
2008-04,6.524,
2008-07,6.721,
2008-10,7.405,
2009-01,7.871,
2009-04,8.296,
2009-07,8.957,
2009-10,9.656,
2010-01,9.390,
2010-04,9.838,
2010-07,10.227,
2010-10,10.438,
2011-01,9.947,
2011-04,9.977,
2011-07,10.333,
2011-10,9.928,
2012-01,9.522,
2012-04,9.968,
2012-07,10.630,
2012-10,10.947,
2013-01,10.823,
2013-04,11.014,
2013-07,11.532,
2013-10,11.750,
2014-01,11.703,
2014-04,12.003,
2014-07,12.659,
