"",BBK01.OELB01O,BBK01.OELB01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:27,
2002-01,24.221,
2002-04,24.338,
2002-07,24.459,
2002-10,24.365,
2003-01,24.338,
2003-04,24.432,
2003-07,24.561,
2003-10,24.666,
2004-01,24.587,
2004-04,24.797,
2004-07,24.939,
2004-10,25.060,
2005-01,24.962,
2005-04,24.874,
2005-07,25.074,
2005-10,25.063,
2006-01,25.076,
2006-04,25.286,
2006-07,25.385,
2006-10,25.261,
2007-01,25.287,
2007-04,25.413,
2007-07,25.545,
2007-10,25.007,
2008-01,25.027,
2008-04,25.237,
2008-07,25.420,
2008-10,25.539,
2009-01,25.583,
2009-04,25.694,
2009-07,25.913,
2009-10,25.960,
2010-01,25.937,
2010-04,26.219,
2010-07,26.407,
2010-10,26.546,
2011-01,26.696,
2011-04,27.034,
2011-07,27.266,
2011-10,27.435,
2012-01,27.686,
2012-04,28.772,
2012-07,29.164,
2012-10,29.445,
2013-01,29.682,
2013-04,29.998,
2013-07,30.539,
2013-10,30.732,
2014-01,31.395,
2014-04,31.721,
2014-07,32.005,
