"",BBK01.OEAD32G,BBK01.OEAD32G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:38,
2002-01,0.567,
2002-04,0.595,
2002-07,0.585,
2002-10,0.585,
2003-01,0.929,
2003-04,0.903,
2003-07,0.979,
2003-10,0.983,
2004-01,0.966,
2004-04,0.932,
2004-07,0.924,
2004-10,0.899,
2005-01,0.919,
2005-04,0.933,
2005-07,0.934,
2005-10,0.921,
2006-01,0.523,
2006-04,0.521,
2006-07,0.521,
2006-10,0.542,
2007-01,0.539,
2007-04,0.546,
2007-07,0.564,
2007-10,0.579,
2008-01,0.571,
2008-04,0.586,
2008-07,0.616,
2008-10,0.676,
2009-01,0.766,
2009-04,0.742,
2009-07,0.776,
2009-10,0.763,
2010-01,0.793,
2010-04,0.789,
2010-07,0.774,
2010-10,0.790,
2011-01,0.795,
2011-04,0.842,
2011-07,0.832,
2011-10,0.815,
2012-01,0.797,
2012-04,0.763,
2012-07,0.778,
2012-10,0.769,
2013-01,0.744,
2013-04,0.772,
2013-07,0.759,
2013-10,0.723,
2014-01,0.748,
2014-04,0.750,
2014-07,0.747,
