"",BBK01.CEF0J0,BBK01.CEF0J0_FLAGS
"",Total                             creditor: Households                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:23,
1999-01,1380.4,
1999-04,1413.2,
1999-07,1432.1,
1999-10,1453.7,
2000-01,1458.9,
2000-04,1477.1,
2000-07,1488.7,
2000-10,1499.2,
2001-01,1500.3,
2001-04,1505.7,
2001-07,1516.8,
2001-10,1520.6,
2002-01,1517.8,
2002-04,1521.8,
2002-07,1529.4,
2002-10,1536.8,
2003-01,1534.5,
2003-04,1541.1,
2003-07,1550.5,
2003-10,1553.7,
2004-01,1544.3,
2004-04,1549.7,
2004-07,1557.7,
2004-10,1559.7,
2005-01,1547.2,
2005-04,1551.6,
2005-07,1555.1,
2005-10,1552.9,
2006-01,1553.0,
2006-04,1553.7,
2006-07,1558.2,
2006-10,1551.1,
2007-01,1543.6,
2007-04,1541.9,
2007-07,1538.7,
2007-10,1531.2,
2008-01,1521.7,
2008-04,1522.4,
2008-07,1521.8,
2008-10,1517.0,
2009-01,1510.3,
2009-04,1515.1,
2009-07,1518.1,
2009-10,1514.8,
2010-01,1510.2,
2010-04,1515.6,
2010-07,1520.6,
2010-10,1519.6,
2011-01,1517.4,
2011-04,1521.6,
2011-07,1533.4,
2011-10,1536.9,
2012-01,1536.7,
2012-04,1542.9,
2012-07,1548.8,
2012-10,1553.4,
2013-01,1551.9,
2013-04,1556.6,
2013-07,1564.8,
2013-10,1563.7,
2014-01,1565.4,
2014-04,1571.0,
2014-07,1581.2,
