"",BBK01.OEAH51V,BBK01.OEAH51V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:04,
2002-01,0.021,
2002-04,0.022,
2002-07,0.023,
2002-10,0.021,
2003-01,0.020,
2003-04,0.017,
2003-07,0.016,
2003-10,0.015,
2004-01,0.015,
2004-04,0.013,
2004-07,0.012,
2004-10,0.011,
2005-01,0.010,
2005-04,0.011,
2005-07,0.011,
2005-10,0.011,
2006-01,0.014,
2006-04,0.018,
2006-07,0.022,
2006-10,0.024,
2007-01,0.033,
2007-04,0.040,
2007-07,0.046,
2007-10,0.051,
2008-01,0.057,
2008-04,0.066,
2008-07,0.076,
2008-10,0.085,
2009-01,0.078,
2009-04,0.060,
2009-07,0.041,
2009-10,0.027,
2010-01,0.019,
2010-04,0.014,
2010-07,0.013,
2010-10,0.012,
2011-01,0.013,
2011-04,0.015,
2011-07,0.017,
2011-10,0.016,
2012-01,0.015,
2012-04,0.013,
2012-07,0.012,
2012-10,0.011,
2013-01,0.012,
2013-04,0.011,
2013-07,0.011,
2013-10,0.014,
2014-01,0.012,
2014-04,0.011,
2014-07,0.012,
