"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.LV.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.LV.00000.000000.Z01.00_FLAGS
"",,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:11,
2009-09,5,
2009-10,4,
2009-11,4,
2009-12,4,
2010-01,4,
2010-02,4,
2010-03,4,
2010-04,5,
2010-05,4,
2010-06,4,
2010-07,6,
2010-08,5,
2010-09,6,
2010-10,5,
2010-11,4,
2010-12,4,
2011-01,5,
2011-02,5,
2011-03,5,
2011-04,5,
2011-05,2,
2011-06,2,
2011-07,2,
2011-08,2,
2011-09,2,
2011-10,2,
2011-11,2,
2011-12,2,
2012-01,2,
2012-02,5,
2012-03,14,
2012-04,15,
2012-05,16,
2012-06,15,
2012-07,16,
2012-08,18,
2012-09,19,
2012-10,21,
2012-11,22,
2012-12,24,
2013-01,25,
2013-02,24,
2013-03,25,
2013-04,26,
2013-05,24,
2013-06,23,
2013-07,27,
2013-08,26,
2013-09,26,
2013-10,25,
2013-11,27,
2013-12,31,
2014-01,66,
2014-02,60,
2014-03,48,
2014-04,68,
2014-05,76,
2014-06,86,
2014-07,83,
2014-08,85,
2014-09,92,
2014-10,96,
2014-11,101,
