"",BBK01.OEHB12S,BBK01.OEHB12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:14,
2002-01,0.751,
2002-04,0.743,
2002-07,0.751,
2002-10,0.765,
2003-01,0.754,
2003-04,0.769,
2003-07,0.771,
2003-10,0.779,
2004-01,0.752,
2004-04,0.746,
2004-07,0.760,
2004-10,0.763,
2005-01,0.777,
2005-04,0.793,
2005-07,0.798,
2005-10,0.804,
2006-01,0.799,
2006-04,0.804,
2006-07,0.816,
2006-10,0.828,
2007-01,0.841,
2007-04,0.831,
2007-07,0.840,
2007-10,0.841,
2008-01,0.832,
2008-04,0.862,
2008-07,0.910,
2008-10,0.940,
2009-01,0.940,
2009-04,0.962,
2009-07,0.986,
2009-10,1.044,
2010-01,1.064,
2010-04,1.116,
2010-07,1.110,
2010-10,1.156,
2011-01,1.144,
2011-04,1.201,
2011-07,1.223,
2011-10,1.294,
2012-01,1.327,
2012-04,1.373,
2012-07,1.412,
2012-10,1.565,
2013-01,1.607,
2013-04,1.650,
2013-07,1.717,
2013-10,1.741,
2014-01,1.805,
2014-04,1.831,
2014-07,1.860,
