"",BBK01.OEAH48G,BBK01.OEAH48G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:24,
2002-01,0.093,
2002-04,0.090,
2002-07,0.093,
2002-10,0.091,
2003-01,0.093,
2003-04,0.087,
2003-07,0.101,
2003-10,0.090,
2004-01,0.085,
2004-04,0.070,
2004-07,0.065,
2004-10,0.072,
2005-01,0.051,
2005-04,0.049,
2005-07,0.048,
2005-10,0.053,
2006-01,0.056,
2006-04,0.061,
2006-07,0.074,
2006-10,0.084,
2007-01,0.091,
2007-04,0.104,
2007-07,0.126,
2007-10,0.213,
2008-01,0.250,
2008-04,0.267,
2008-07,0.310,
2008-10,0.319,
2009-01,0.243,
2009-04,0.222,
2009-07,0.166,
2009-10,0.164,
2010-01,0.129,
2010-04,0.115,
2010-07,0.114,
2010-10,0.126,
2011-01,0.117,
2011-04,0.137,
2011-07,0.141,
2011-10,0.150,
2012-01,0.151,
2012-04,0.137,
2012-07,0.131,
2012-10,0.122,
2013-01,0.124,
2013-04,0.097,
2013-07,0.103,
2013-10,0.084,
2014-01,0.079,
2014-04,0.079,
2014-07,0.077,
