"",BBK01.OELM03O,BBK01.OELM03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:40,
2002-01,0.137,
2002-04,0.174,
2002-07,0.171,
2002-10,0.162,
2003-01,0.141,
2003-04,0.162,
2003-07,0.161,
2003-10,0.178,
2004-01,0.140,
2004-04,0.175,
2004-07,0.163,
2004-10,0.185,
2005-01,0.177,
2005-04,0.170,
2005-07,0.140,
2005-10,0.206,
2006-01,0.218,
2006-04,0.270,
2006-07,0.286,
2006-10,0.316,
2007-01,0.306,
2007-04,0.376,
2007-07,0.334,
2007-10,0.302,
2008-01,0.314,
2008-04,0.368,
2008-07,0.309,
2008-10,0.296,
2009-01,0.228,
2009-04,0.337,
2009-07,0.332,
2009-10,0.229,
2010-01,0.171,
2010-04,0.154,
2010-07,0.182,
2010-10,0.192,
2011-01,0.157,
2011-04,0.163,
2011-07,0.183,
2011-10,0.172,
2012-01,0.134,
2012-04,0.114,
2012-07,0.124,
2012-10,0.133,
2013-01,0.126,
2013-04,0.177,
2013-07,0.186,
2013-10,0.095,
2014-01,0.222,
2014-04,0.315,
2014-07,0.425,
