"",BBK01.OEHM01N,BBK01.OEHM01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:26,
2002-01,3.238,
2002-04,3.504,
2002-07,2.897,
2002-10,3.732,
2003-01,2.584,
2003-04,2.843,
2003-07,2.451,
2003-10,3.047,
2004-01,2.573,
2004-04,2.709,
2004-07,2.686,
2004-10,2.801,
2005-01,2.322,
2005-04,2.630,
2005-07,2.356,
2005-10,2.847,
2006-01,2.200,
2006-04,2.597,
2006-07,2.656,
2006-10,3.150,
2007-01,2.555,
2007-04,3.096,
2007-07,3.647,
2007-10,3.448,
2008-01,3.436,
2008-04,3.638,
2008-07,3.839,
2008-10,3.963,
2009-01,3.724,
2009-04,4.005,
2009-07,3.434,
2009-10,3.792,
2010-01,2.938,
2010-04,3.548,
2010-07,3.459,
2010-10,4.381,
2011-01,3.702,
2011-04,3.975,
2011-07,3.560,
2011-10,3.766,
2012-01,3.563,
2012-04,3.723,
2012-07,3.524,
2012-10,4.254,
2013-01,3.916,
2013-04,3.710,
2013-07,3.748,
2013-10,4.063,
2014-01,3.485,
2014-04,3.378,
2014-07,3.551,
