"",BBK01.OEAO02M,BBK01.OEAO02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:59,
2002-01,6.292,
2002-04,5.300,
2002-07,4.963,
2002-10,5.432,
2003-01,6.293,
2003-04,4.489,
2003-07,4.780,
2003-10,4.897,
2004-01,5.680,
2004-04,4.302,
2004-07,4.688,
2004-10,5.235,
2005-01,5.880,
2005-04,4.818,
2005-07,4.534,
2005-10,5.059,
2006-01,6.219,
2006-04,5.118,
2006-07,5.092,
2006-10,5.857,
2007-01,6.933,
2007-04,5.484,
2007-07,5.298,
2007-10,6.018,
2008-01,6.130,
2008-04,5.289,
2008-07,4.967,
2008-10,7.324,
2009-01,6.612,
2009-04,5.664,
2009-07,6.162,
2009-10,6.289,
2010-01,6.229,
2010-04,4.513,
2010-07,4.004,
2010-10,4.617,
2011-01,5.431,
2011-04,4.339,
2011-07,4.257,
2011-10,4.491,
2012-01,5.268,
2012-04,3.910,
2012-07,4.006,
2012-10,4.461,
2013-01,5.325,
2013-04,3.909,
2013-07,3.624,
2013-10,3.838,
2014-01,4.018,
2014-04,3.423,
2014-07,3.886,
