"",BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:33,
1991-01,3.007,
1991-04,2.447,
1991-07,3.755,
1991-10,3.810,
1992-01,-17.026,
1992-04,-1.595,
1992-07,-1.867,
1992-10,-1.595,
1993-01,-16.244,
1993-04,-16.244,
1993-07,-16.244,
1993-10,-16.244,
1994-01,54.952,
1994-04,55.152,
1994-07,53.631,
1994-10,55.086,
1995-01,-7.204,
1995-04,-5.580,
1995-07,-5.580,
1995-10,-5.580,
1996-01,37.701,
1996-04,37.701,
1996-07,37.701,
1996-10,37.701,
1997-01,10.083,
1997-04,7.185,
1997-07,10.225,
1997-10,6.238,
1998-01,-0.413,
1998-04,-0.107,
1998-07,-0.383,
1998-10,-,Nothing exists
1999-01,-88.000,
1999-04,-90.000,
1999-07,-96.325,
1999-10,-90.641,
2000-01,24.369,
2000-04,-10.237,
2000-07,22.043,
2000-10,20.056,
2001-01,1.396,
2001-04,-19.572,
2001-07,-80.290,
2001-10,-2.089,
2002-01,-9.813,
2002-04,3.273,
2002-07,-12.993,
2002-10,19.965,
2003-01,-3.430,
2003-04,18.056,
2003-07,33.052,
2003-10,30.802,
2004-01,46.016,
2004-04,-41.836,
2004-07,105.715,
2004-10,-0.366,
2005-01,111.557,
2005-04,197.495,
2005-07,202.146,
2005-10,147.935,
2006-01,-104.338,
2006-04,74.897,
2006-07,43.778,
2006-10,-157.932,
2007-01,108.509,
2007-04,133.105,
2007-07,96.125,
2007-10,-23.827,
2008-01,-56.697,
2008-04,-34.567,
2008-07,1.900,
2008-10,-1.001,
2009-01,37.840,
2009-04,75.417,
2009-07,99.190,
2009-10,-23.652,
2010-01,118.101,
2010-04,51.163,
2010-07,28.090,
2010-10,-25.471,
2011-01,46.738,
2011-04,-24.998,
2011-07,3.513,
2011-10,-293.498,
2012-01,72.972,
2012-04,-79.419,
2012-07,0.314,
2012-10,-79.022,
2013-01,32.680,
2013-04,42.967,
2013-07,11.964,
2013-10,-48.091,
2014-01,69.784,Provisional value
2014-04,32.306,Provisional value
2014-07,39.184,Provisional value
2014-10,30.674,Provisional value
