"",BBFN1.M.DE.N.1.L.B0.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:00,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,19.779,
1995-02,19.918,
1995-03,21.058,
1995-04,20.824,
1995-05,21.368,
1995-06,22.009,
1995-07,20.647,
1995-08,19.570,
1995-09,21.464,
1995-10,21.864,
1995-11,22.468,
1995-12,21.170,
1996-01,19.938,
1996-02,19.939,
1996-03,21.143,
1996-04,20.343,
1996-05,20.448,
1996-06,20.496,
1996-07,20.036,
1996-08,18.317,
1996-09,20.272,
1996-10,20.376,
1996-11,20.609,
1996-12,21.189,
1997-01,20.359,
1997-02,20.419,
1997-03,21.125,
1997-04,21.656,
1997-05,21.681,
1997-06,21.959,
1997-07,21.524,
1997-08,19.453,
1997-09,22.140,
1997-10,22.366,
1997-11,23.752,
1997-12,23.569,
1998-01,21.891,
1998-02,22.609,
1998-03,24.186,
1998-04,23.231,
1998-05,23.301,
1998-06,24.205,
1998-07,23.455,
1998-08,21.312,
1998-09,24.874,
1998-10,24.130,
1998-11,23.871,
1998-12,23.978,
1999-01,22.534,
1999-02,22.513,
1999-03,24.345,
1999-04,24.029,
1999-05,23.451,
1999-06,24.772,
1999-07,24.395,
1999-08,22.718,
1999-09,25.001,
1999-10,25.353,
1999-11,25.815,
1999-12,27.532,
2000-01,26.338,
2000-02,27.937,
2000-03,29.091,
2000-04,28.317,
2000-05,28.655,
2000-06,30.070,
2000-07,29.105,
2000-08,28.399,
2000-09,30.710,
2000-10,31.206,
2000-11,32.414,
2000-12,32.457,
2001-01,31.728,
2001-02,31.821,
2001-03,32.747,
2001-04,30.987,
2001-05,31.552,
2001-06,32.778,
2001-07,31.097,
2001-08,29.363,
2001-09,31.533,
2001-10,32.866,
2001-11,32.790,
2001-12,34.716,
2002-01,31.043,
2002-02,31.188,
2002-03,30.759,
2002-04,30.246,
2002-05,29.673,
2002-06,31.174,
2002-07,30.359,
2002-08,28.369,
2002-09,30.755,
2002-10,31.623,
2002-11,32.075,
2002-12,32.650,
2003-01,30.022,
2003-02,30.641,
2003-03,32.281,
2003-04,30.136,
2003-05,29.114,
2003-06,30.475,
2003-07,29.646,
2003-08,27.021,
2003-09,29.740,
2003-10,30.276,
2003-11,30.120,
2003-12,30.855,
2004-01,28.893,
2004-02,28.560,
2004-03,31.286,
2004-04,28.413,
2004-05,33.084,
2004-06,34.708,
2004-07,33.963,
2004-08,32.214,
2004-09,36.042,
2004-10,36.391,
2004-11,36.965,
2004-12,36.494,
2005-01,33.293,
2005-02,33.724,
2005-03,35.454,
2005-04,35.580,
2005-05,34.771,
2005-06,37.484,
2005-07,36.937,
2005-08,35.457,
2005-09,39.417,
2005-10,39.101,
2005-11,39.877,
2005-12,41.305,
2006-01,38.636,
2006-02,39.539,
2006-03,42.087,
2006-04,40.634,
2006-05,40.288,
2006-06,41.671,
2006-07,40.081,
2006-08,37.790,
2006-09,41.236,
2006-10,42.571,
2006-11,43.630,
2006-12,45.202,
2007-01,43.235,
2007-02,43.565,
2007-03,47.139,
2007-04,44.275,
2007-05,43.537,
2007-06,45.355,
2007-07,43.694,
2007-08,41.098,
2007-09,45.944,
2007-10,46.978,
2007-11,47.263,
2007-12,46.262,
2008-01,45.775,
2008-02,47.298,
2008-03,48.023,
2008-04,49.701,
2008-05,49.848,
2008-06,49.935,
2008-07,48.961,
2008-08,45.740,
2008-09,49.877,
2008-10,48.708,
2008-11,48.036,
2008-12,46.188,
2009-01,41.657,
2009-02,41.355,
2009-03,46.361,
2009-04,38.819,
2009-05,39.889,
2009-06,48.515,
2009-07,48.185,
2009-08,42.062,
2009-09,47.042,
2009-10,47.516,
2009-11,48.945,
2009-12,48.977,
2010-01,40.126,
2010-02,41.244,
2010-03,45.555,
2010-04,44.149,
2010-05,45.294,
2010-06,48.589,
2010-07,46.390,
2010-08,43.375,
2010-09,48.554,
2010-10,48.398,
2010-11,48.192,
2010-12,50.035,
2011-01,47.397,
2011-02,49.531,
2011-03,51.576,
2011-04,49.441,
2011-05,48.923,
2011-06,50.922,
2011-07,49.502,
2011-08,45.530,
2011-09,51.498,
2011-10,51.470,
2011-11,52.673,
2011-12,54.370,
2012-01,48.425,
2012-02,51.545,
2012-03,52.112,
2012-04,50.301,
2012-05,50.274,
2012-06,51.043,
2012-07,49.626,
2012-08,45.795,
2012-09,50.005,
2012-10,51.412,
2012-11,52.647,
2012-12,53.607,
2013-01,51.101,
2013-02,51.953,
2013-03,53.530,
2013-04,51.027,
2013-05,50.931,
2013-06,51.547,
2013-07,50.307,
2013-08,48.726,
2013-09,54.721,
2013-10,53.750,
2013-11,55.063,
2013-12,52.975,
2014-01,49.211,
2014-02,51.387,
2014-03,54.697,
2014-04,51.881,
2014-05,51.479,
2014-06,53.481,
2014-07,52.995,
2014-08,49.129,
2014-09,55.423,
2014-10,54.787,
2014-11,56.257,
2014-12,53.878,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
