"",BBK01.OEAE02H,BBK01.OEAE02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:03,
2002-01,34.547,
2002-04,34.430,
2002-07,34.259,
2002-10,33.879,
2003-01,33.215,
2003-04,32.994,
2003-07,32.524,
2003-10,33.483,
2004-01,32.808,
2004-04,33.872,
2004-07,34.537,
2004-10,33.476,
2005-01,33.776,
2005-04,33.848,
2005-07,33.398,
2005-10,33.762,
2006-01,33.973,
2006-04,33.858,
2006-07,33.820,
2006-10,33.462,
2007-01,33.646,
2007-04,32.878,
2007-07,32.843,
2007-10,33.498,
2008-01,34.151,
2008-04,33.821,
2008-07,33.950,
2008-10,31.613,
2009-01,34.255,
2009-04,28.036,
2009-07,28.180,
2009-10,27.946,
2010-01,27.128,
2010-04,27.165,
2010-07,26.778,
2010-10,26.836,
2011-01,26.168,
2011-04,27.055,
2011-07,27.013,
2011-10,28.419,
2012-01,28.017,
2012-04,28.679,
2012-07,28.909,
2012-10,29.329,
2013-01,29.442,
2013-04,29.966,
2013-07,29.832,
2013-10,30.234,
2014-01,30.901,
2014-04,30.381,
2014-07,30.922,
