"",BBSF2.M.1.P.00000.DAC01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.P.00000.DAC01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Public funds / Funds-of-funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:25,
2009-09,10893,
2009-10,11226,
2009-11,11322,
2009-12,11524,
2010-01,11420,
2010-02,11364,
2010-03,11607,
2010-04,11638,
2010-05,11509,
2010-06,11229,
2010-07,11524,
2010-08,11764,
2010-09,11642,
2010-10,11925,
2010-11,11885,
2010-12,12280,
2011-01,12146,
2011-02,12242,
2011-03,12011,
2011-04,12111,
2011-05,11984,
2011-06,11891,
2011-07,12496,
2011-08,11678,
2011-09,11129,
2011-10,11369,
2011-11,10796,
2011-12,11053,
2012-01,11125,
2012-02,11166,
2012-03,10969,
2012-04,10878,
2012-05,10496,
2012-06,10094,
2012-07,10705,
2012-08,10746,
2012-09,10938,
2012-10,10751,
2012-11,10719,
2012-12,10933,
2013-01,10968,
2013-02,11139,
2013-03,11323,
2013-04,11432,
2013-05,11422,
2013-06,10641,
2013-07,11155,
2013-08,11289,
2013-09,11685,
2013-10,12121,
2013-11,12217,
2013-12,12388,
2014-01,12417,
2014-02,12432,
2014-03,12447,
2014-04,12500,
2014-05,12745,
2014-06,12865,
2014-07,12816,
2014-08,12992,
2014-09,13160,
2014-10,13250,
2014-11,14290,
