"",BBDE1.M.DE.Y.GUA1.N2G474000.A.V.I10.A,BBDE1.M.DE.Y.GUA1.N2G474000.A.V.I10.A_FLAGS
"","Turnover / At current prices, flows / Germany / 47.4 Retail sale of information and communication equipment in specialised stores / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 14:19:04,
1994-01,89.8,
1994-02,90.4,
1994-03,92.1,
1994-04,91.3,
1994-05,92.3,
1994-06,94.6,
1994-07,90.3,
1994-08,93.8,
1994-09,94.1,
1994-10,92.1,
1994-11,95.2,
1994-12,101.5,
1995-01,89.5,
1995-02,88.5,
1995-03,89.6,
1995-04,88.9,
1995-05,88.0,
1995-06,90.4,
1995-07,88.3,
1995-08,89.6,
1995-09,89.3,
1995-10,91.5,
1995-11,90.6,
1995-12,93.1,
1996-01,90.4,
1996-02,91.8,
1996-03,88.7,
1996-04,90.9,
1996-05,92.7,
1996-06,87.1,
1996-07,89.0,
1996-08,89.2,
1996-09,87.9,
1996-10,87.1,
1996-11,87.2,
1996-12,87.2,
1997-01,88.2,
1997-02,85.6,
1997-03,86.3,
1997-04,90.3,
1997-05,86.8,
1997-06,87.0,
1997-07,88.7,
1997-08,86.2,
1997-09,87.2,
1997-10,87.7,
1997-11,86.0,
1997-12,88.0,
1998-01,90.6,
1998-02,90.7,
1998-03,92.5,
1998-04,90.5,
1998-05,90.4,
1998-06,92.7,
1998-07,91.6,
1998-08,89.7,
1998-09,89.1,
1998-10,90.5,
1998-11,92.0,
1998-12,90.6,
1999-01,90.4,
1999-02,91.2,
1999-03,89.0,
1999-04,91.0,
1999-05,92.3,
1999-06,93.4,
1999-07,95.1,
1999-08,98.9,
1999-09,96.0,
1999-10,97.6,
1999-11,93.2,
1999-12,98.1,
2000-01,98.3,
2000-02,101.0,
2000-03,103.1,
2000-04,100.8,
2000-05,103.3,
2000-06,100.7,
2000-07,103.5,
2000-08,101.8,
2000-09,99.9,
2000-10,98.0,
2000-11,97.7,
2000-12,97.4,
2001-01,99.1,
2001-02,97.1,
2001-03,99.2,
2001-04,97.3,
2001-05,91.9,
2001-06,95.2,
2001-07,90.4,
2001-08,93.7,
2001-09,94.4,
2001-10,93.4,
2001-11,93.1,
2001-12,90.9,
2002-01,84.9,
2002-02,79.8,
2002-03,81.5,
2002-04,80.8,
2002-05,83.5,
2002-06,79.2,
2002-07,79.0,
2002-08,80.4,
2002-09,80.1,
2002-10,77.8,
2002-11,80.0,
2002-12,77.8,
2003-01,76.7,
2003-02,76.6,
2003-03,74.2,
2003-04,75.2,
2003-05,74.1,
2003-06,72.4,
2003-07,74.1,
2003-08,72.5,
2003-09,73.2,
2003-10,73.7,
2003-11,73.6,
2003-12,68.9,
2004-01,74.6,
2004-02,76.7,
2004-03,75.4,
2004-04,77.8,
2004-05,79.1,
2004-06,78.5,
2004-07,76.8,
2004-08,76.9,
2004-09,75.9,
2004-10,77.5,
2004-11,76.9,
2004-12,76.4,
2005-01,82.0,
2005-02,81.3,
2005-03,83.5,
2005-04,82.1,
2005-05,80.5,
2005-06,83.2,
2005-07,84.4,
2005-08,82.9,
2005-09,83.5,
2005-10,84.0,
2005-11,81.5,
2005-12,85.1,
2006-01,85.8,
2006-02,81.4,
2006-03,82.1,
2006-04,84.7,
2006-05,83.1,
2006-06,80.1,
2006-07,75.7,
2006-08,88.4,
2006-09,85.3,
2006-10,86.9,
2006-11,87.4,
2006-12,91.4,
2007-01,85.7,
2007-02,88.8,
2007-03,90.4,
2007-04,89.5,
2007-05,89.0,
2007-06,92.8,
2007-07,94.0,
2007-08,90.3,
2007-09,91.9,
2007-10,92.7,
2007-11,92.4,
2007-12,95.0,
2008-01,93.5,
2008-02,91.7,
2008-03,99.1,
2008-04,99.0,
2008-05,97.8,
2008-06,98.4,
2008-07,93.2,
2008-08,96.4,
2008-09,96.1,
2008-10,96.4,
2008-11,97.4,
2008-12,96.9,
2009-01,99.4,
2009-02,96.2,
2009-03,96.0,
2009-04,93.1,
2009-05,94.0,
2009-06,94.7,
2009-07,97.7,
2009-08,96.2,
2009-09,97.3,
2009-10,98.1,
2009-11,100.7,
2009-12,97.6,
2010-01,96.9,
2010-02,99.8,
2010-03,97.4,
2010-04,97.7,
2010-05,107.3,
2010-06,102.1,
2010-07,99.9,
2010-08,104.2,
2010-09,100.7,
2010-10,98.2,
2010-11,98.4,
2010-12,98.3,
2011-01,105.5,
2011-02,99.9,
2011-03,96.3,
2011-04,95.9,
2011-05,99.7,
2011-06,98.7,
2011-07,100.8,
2011-08,100.2,
2011-09,98.8,
2011-10,98.0,
2011-11,96.9,
2011-12,100.5,
2012-01,97.9,
2012-02,97.6,
2012-03,101.3,
2012-04,103.5,
2012-05,99.3,
2012-06,106.0,
2012-07,99.5,
2012-08,97.7,
2012-09,98.4,
2012-10,96.7,
2012-11,96.8,
2012-12,96.6,
2013-01,96.6,
2013-02,96.2,
2013-03,101.5,
2013-04,96.3,
2013-05,94.9,
2013-06,94.4,
2013-07,91.6,
2013-08,95.4,
2013-09,98.6,
2013-10,94.3,
2013-11,94.4,
2013-12,92.5,
2014-01,94.2,Provisional value
2014-02,93.5,Provisional value
2014-03,91.6,Provisional value
2014-04,93.6,Provisional value
2014-05,95.8,Provisional value
2014-06,93.2,Provisional value
2014-07,96.5,Provisional value
2014-08,92.6,Provisional value
2014-09,96.1,Provisional value
2014-10,96.9,Provisional value
2014-11,98.0,Provisional value
2014-12,97.5,Provisional value
