"",BBK01.OEAF17J,BBK01.OEAF17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:50,
2002-01,0.241,
2002-04,0.242,
2002-07,0.257,
2002-10,0.232,
2003-01,0.221,
2003-04,0.222,
2003-07,0.231,
2003-10,0.218,
2004-01,0.200,
2004-04,0.198,
2004-07,0.198,
2004-10,0.177,
2005-01,0.178,
2005-04,0.180,
2005-07,0.187,
2005-10,0.176,
2006-01,0.169,
2006-04,0.174,
2006-07,0.167,
2006-10,0.167,
2007-01,0.157,
2007-04,0.153,
2007-07,0.155,
2007-10,0.157,
2008-01,0.153,
2008-04,0.154,
2008-07,0.161,
2008-10,0.166,
2009-01,0.154,
2009-04,0.156,
2009-07,0.149,
2009-10,0.141,
2010-01,0.077,
2010-04,0.130,
2010-07,0.130,
2010-10,0.127,
2011-01,0.127,
2011-04,0.126,
2011-07,0.130,
2011-10,0.115,
2012-01,0.119,
2012-04,0.112,
2012-07,0.112,
2012-10,0.118,
2013-01,0.114,
2013-04,0.109,
2013-07,0.110,
2013-10,0.106,
2014-01,0.101,
2014-04,0.102,
2014-07,0.101,
