"",BBK01.OEBL01N,BBK01.OEBL01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:02,
2002-01,79.648,
2002-04,79.666,
2002-07,78.381,
2002-10,82.667,
2003-01,83.406,
2003-04,83.299,
2003-07,83.734,
2003-10,87.567,
2004-01,86.376,
2004-04,86.449,
2004-07,86.726,
2004-10,33.761,
2005-01,48.841,
2005-04,48.067,
2005-07,47.477,
2005-10,47.981,
2006-01,47.575,
2006-04,47.816,
2006-07,46.598,
2006-10,47.682,
2007-01,48.869,
2007-04,50.526,
2007-07,52.186,
2007-10,55.752,
2008-01,56.962,
2008-04,58.250,
2008-07,60.363,
2008-10,67.051,
2009-01,66.808,
2009-04,67.381,
2009-07,66.190,
2009-10,65.584,
2010-01,64.480,
2010-04,65.566,
2010-07,64.615,
2010-10,66.068,
2011-01,66.896,
2011-04,67.618,
2011-07,67.946,
2011-10,68.271,
2012-01,69.903,
2012-04,70.732,
2012-07,72.020,
2012-10,71.695,
2013-01,70.423,
2013-04,71.366,
2013-07,70.983,
2013-10,72.623,
2014-01,72.754,
2014-04,74.128,
2014-07,75.244,
