"",BBK01.OECM01P,BBK01.OECM01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:25,
2002-01,0.021,
2002-04,0.011,
2002-07,0.021,
2002-10,0.022,
2003-01,0.011,
2003-04,0.002,
2003-07,0.012,
2003-10,0.013,
2004-01,0.009,
2004-04,0.014,
2004-07,0.004,
2004-10,0.004,
2005-01,0.016,
2005-04,0.011,
2005-07,0.008,
2005-10,0.016,
2006-01,0.012,
2006-04,0.005,
2006-07,0.008,
2006-10,0.007,
2007-01,0.012,
2007-04,0.027,
2007-07,0.027,
2007-10,0.017,
2008-01,0.031,
2008-04,0.031,
2008-07,0.019,
2008-10,0.022,
2009-01,0.072,
2009-04,0.061,
2009-07,0.014,
2009-10,0.014,
2010-01,0.027,
2010-04,0.035,
2010-07,0.041,
2010-10,0.006,
2011-01,0.033,
2011-04,0.030,
2011-07,0.042,
2011-10,0.041,
2012-01,0.076,
2012-04,0.019,
2012-07,0.018,
2012-10,0.014,
2013-01,0.014,
2013-04,0.013,
2013-07,0.010,
2013-10,0.011,
2014-01,0.007,
2014-04,0.008,
2014-07,0.008,
