"",BBK01.OEGB07I,BBK01.OEGB07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:01,
2002-01,1.318,
2002-04,1.326,
2002-07,1.223,
2002-10,1.216,
2003-01,1.399,
2003-04,1.432,
2003-07,1.670,
2003-10,1.446,
2004-01,1.391,
2004-04,1.309,
2004-07,1.289,
2004-10,1.293,
2005-01,1.258,
2005-04,1.175,
2005-07,1.188,
2005-10,1.190,
2006-01,1.295,
2006-04,1.387,
2006-07,1.694,
2006-10,1.711,
2007-01,1.459,
2007-04,1.711,
2007-07,1.394,
2007-10,1.421,
2008-01,1.520,
2008-04,1.883,
2008-07,2.005,
2008-10,2.202,
2009-01,2.036,
2009-04,3.474,
2009-07,3.620,
2009-10,3.708,
2010-01,3.740,
2010-04,3.632,
2010-07,3.521,
2010-10,3.533,
2011-01,5.748,
2011-04,5.719,
2011-07,5.450,
2011-10,6.026,
2012-01,6.012,
2012-04,5.869,
2012-07,5.516,
2012-10,5.561,
2013-01,5.125,
2013-04,5.855,
2013-07,4.900,
2013-10,4.766,
2014-01,5.130,
2014-04,4.747,
2014-07,5.046,
