"",BBK01.OEYO03K,BBK01.OEYO03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:43,
2002-01,0.041,
2002-04,0.033,
2002-07,0.028,
2002-10,0.025,
2003-01,0.024,
2003-04,0.024,
2003-07,0.015,
2003-10,0.058,
2004-01,0.005,
2004-04,0.010,
2004-07,0.021,
2004-10,0.018,
2005-01,0.051,
2005-04,0.020,
2005-07,0.015,
2005-10,0.020,
2006-01,0.019,
2006-04,0.013,
2006-07,0.011,
2006-10,0.015,
2007-01,0.011,
2007-04,0.015,
2007-07,0.008,
2007-10,0.006,
2008-01,0.009,
2008-04,0.010,
2008-07,0.012,
2008-10,0.013,
2009-01,0.014,
2009-04,0.009,
2009-07,0.010,
2009-10,0.010,
2010-01,0.021,
2010-04,0.010,
2010-07,0.005,
2010-10,0.004,
2011-01,0.009,
2011-04,0.008,
2011-07,0.006,
2011-10,0.007,
2012-01,0.006,
2012-04,0.008,
2012-07,0.006,
2012-10,0.006,
2013-01,0.005,
2013-04,0.006,
2013-07,0.010,
2013-10,0.015,
2014-01,0.007,
2014-04,0.002,
2014-07,0.002,
