"",BBK01.OEAA21I,BBK01.OEAA21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:13,
2002-01,43.736,
2002-04,43.847,
2002-07,42.170,
2002-10,41.483,
2003-01,40.063,
2003-04,40.014,
2003-07,39.399,
2003-10,37.774,
2004-01,37.437,
2004-04,37.140,
2004-07,35.679,
2004-10,36.103,
2005-01,36.773,
2005-04,37.007,
2005-07,36.607,
2005-10,35.698,
2006-01,36.476,
2006-04,36.343,
2006-07,37.691,
2006-10,37.385,
2007-01,37.205,
2007-04,37.081,
2007-07,37.119,
2007-10,38.054,
2008-01,38.283,
2008-04,39.877,
2008-07,40.460,
2008-10,40.693,
2009-01,40.858,
2009-04,41.425,
2009-07,46.123,
2009-10,46.291,
2010-01,46.770,
2010-04,47.228,
2010-07,49.637,
2010-10,50.658,
2011-01,51.353,
2011-04,51.871,
2011-07,52.745,
2011-10,54.740,
2012-01,55.561,
2012-04,56.034,
2012-07,56.217,
2012-10,56.726,
2013-01,56.706,
2013-04,57.973,
2013-07,57.670,
2013-10,58.663,
2014-01,58.459,
2014-04,58.688,
2014-07,58.413,
