"",BBSF2.M.1.T.00000.HED01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Hedgefunds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:24,
2009-09,7898,
2009-10,8228,
2009-11,8222,
2009-12,8446,
2010-01,8775,
2010-02,8663,
2010-03,11000,
2010-04,12030,
2010-05,12625,
2010-06,11242,
2010-07,8951,
2010-08,8997,
2010-09,9034,
2010-10,8914,
2010-11,8655,
2010-12,8829,
2011-01,8917,
2011-02,8949,
2011-03,8998,
2011-04,9317,
2011-05,9258,
2011-06,8969,
2011-07,9047,
2011-08,9034,
2011-09,9032,
2011-10,9454,
2011-11,9425,
2011-12,9498,
2012-01,9778,
2012-02,9641,
2012-03,10279,
2012-04,11230,
2012-05,11150,
2012-06,10902,
2012-07,10839,
2012-08,10699,
2012-09,10744,
2012-10,11083,
2012-11,10632,
2012-12,10546,
2013-01,10718,
2013-02,10906,
2013-03,11074,
2013-04,11718,
2013-05,11906,
2013-06,11483,
2013-07,11842,
2013-08,11791,
2013-09,11817,
2013-10,11974,
2013-11,11900,
2013-12,11865,
2014-01,12167,
2014-02,12150,
2014-03,12143,
2014-04,12572,
2014-05,12591,
2014-06,12266,
2014-07,12463,
2014-08,12462,
2014-09,12453,
2014-10,12813,
2014-11,12885,
