"",BBK01.OEHO01L,BBK01.OEHO01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:53,
2002-01,23.688,
2002-04,22.854,
2002-07,22.249,
2002-10,21.819,
2003-01,22.149,
2003-04,21.772,
2003-07,21.601,
2003-10,21.437,
2004-01,21.872,
2004-04,21.745,
2004-07,21.561,
2004-10,21.413,
2005-01,22.654,
2005-04,22.381,
2005-07,22.109,
2005-10,21.887,
2006-01,22.219,
2006-04,22.054,
2006-07,21.955,
2006-10,21.730,
2007-01,21.861,
2007-04,21.107,
2007-07,20.355,
2007-10,19.674,
2008-01,19.293,
2008-04,18.410,
2008-07,17.713,
2008-10,17.211,
2009-01,17.401,
2009-04,17.684,
2009-07,18.221,
2009-10,18.669,
2010-01,19.338,
2010-04,19.629,
2010-07,19.747,
2010-10,19.605,
2011-01,19.839,
2011-04,19.863,
2011-07,19.814,
2011-10,19.587,
2012-01,19.671,
2012-04,19.472,
2012-07,19.248,
2012-10,19.022,
2013-01,19.032,
2013-04,18.915,
2013-07,18.755,
2013-10,18.663,
2014-01,18.896,
2014-04,18.622,
2014-07,18.296,
