"",BBK01.CEBF0X,BBK01.CEBF0X_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:21,
1991-01,4.0,
1991-04,4.2,
1991-07,4.5,
1991-10,5.2,
1992-01,4.4,
1992-04,4.5,
1992-07,4.5,
1992-10,5.4,
1993-01,5.0,
1993-04,7.8,
1993-07,7.8,
1993-10,7.6,
1994-01,7.6,
1994-04,8.1,
1994-07,7.4,
1994-10,7.5,
1995-01,6.8,
1995-04,7.3,
1995-07,7.9,
1995-10,8.2,
1996-01,8.3,
1996-04,7.7,
1996-07,7.5,
1996-10,8.3,
1997-01,8.3,
1997-04,8.7,
1997-07,9.2,
1997-10,14.2,
1998-01,13.3,
1998-04,16.2,
1998-07,14.2,
1998-10,17.9,
1999-01,20.1,
1999-04,31.1,
1999-07,28.1,
1999-10,29.8,
2000-01,28.6,
2000-04,34.9,
2000-07,27.0,
2000-10,33.2,
2001-01,33.9,
2001-04,33.2,
2001-07,39.5,
2001-10,37.1,
2002-01,38.3,
2002-04,36.8,
2002-07,30.8,
2002-10,38.6,
2003-01,37.1,
2003-04,33.5,
2003-07,32.1,
2003-10,31.1,
2004-01,31.1,
2004-04,32.6,
2004-07,33.4,
2004-10,32.6,
2005-01,33.1,
2005-04,35.8,
2005-07,35.3,
2005-10,34.1,
2006-01,35.7,
2006-04,36.3,
2006-07,35.2,
2006-10,37.2,
2007-01,39.5,
2007-04,45.1,
2007-07,44.9,
2007-10,36.7,
2008-01,40.7,
2008-04,43.3,
2008-07,45.3,
2008-10,44.2,
2009-01,47.4,
2009-04,50.4,
2009-07,51.0,
2009-10,55.5,
2010-01,58.2,
2010-04,60.1,
2010-07,60.8,
2010-10,62.0,
2011-01,63.3,
2011-04,64.0,
2011-07,65.5,
2011-10,69.0,
2012-01,72.0,
2012-04,73.6,
2012-07,78.0,
2012-10,81.3,
2013-01,88.5,
2013-04,93.3,
2013-07,94.4,
2013-10,95.9,
2014-01,99.3,
