"",BBK01.OXA8N9,BBK01.OXA8N9_FLAGS
"","Stocks of loans to domestic non-banks (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet -         All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:25,
2009-12,79.655,
2010-01,81.477,
2010-02,-,Nothing exists
2010-03,78.440,
2010-04,-,Nothing exists
2010-05,76.470,
2010-06,75.004,
2010-07,74.939,
2010-08,73.816,
2010-09,71.968,
2010-10,72.971,
2010-11,74.456,
2010-12,72.235,
2011-01,70.560,
2011-02,69.166,
2011-03,67.179,
2011-04,66.444,
2011-05,65.067,
2011-06,63.637,
2011-07,64.232,
2011-08,69.031,
2011-09,67.779,
2011-10,67.633,
2011-11,68.719,
2011-12,67.331,
2012-01,67.321,
2012-02,66.243,
2012-03,64.301,
2012-04,64.434,
2012-05,62.924,
2012-06,61.360,
2012-07,60.048,
2012-08,59.037,
2012-09,57.663,
2012-10,54.924,
2012-11,55.194,
2012-12,54.365,
2013-01,53.641,
2013-02,53.593,
2013-03,55.077,
2013-04,53.818,
2013-05,53.559,
2013-06,55.239,
2013-07,55.138,
2013-08,53.722,
2013-09,52.463,
2013-10,52.433,
2013-11,53.710,
2013-12,52.606,
2014-01,51.951,
2014-02,49.917,
2014-03,51.515,
2014-04,52.324,
2014-05,52.476,
2014-06,51.500,
2014-07,50.458,
2014-08,50.735,
2014-09,50.497,
2014-10,54.193,
2014-11,53.652,
2014-12,53.076,Provisional value
